t,wt,ql,sd
15.0,2.375,0.3125,4.582269817391711
20.0,5.5,0.3125,2.775437665586869
25.0,9.0,0.3125,3.1187868067371487
30.0,12.75,0.375,3.4987447783662518
35.0,16.375,0.375,2.871257348408789
40.0,13.416666666666666,0.375,5.267631634009812
45.0,16.083333333333332,0.375,5.88301074859189
50.0,18.416666666666668,0.3125,5.632451784548789
55.0,20.833333333333332,0.375,4.895850116232549
60.0,23.416666666666668,0.375,4.620537894058185
65.0,26.416666666666668,0.5,3.9066061724444334
70.0,29.75,0.5,4.16004862878524
75.0,19.9,0.5625,4.636677270224642
80.0,21.8,0.3125,7.610059002094748
85.0,23.65,0.5625,5.907568321189751
90.0,26.15,0.5625,5.386398374026724
95.0,28.75,0.6875,4.314421041448655
100.0,31.85,0.875,2.251176001083419
105.0,35.85,1.0,1.4905212714281102
110.0,33.291666666666664,1.0,2.0405974403281486
115.0,36.833333333333336,1.0625,3.605830137338831
120.0,40.125,0.875,4.216092132840568
125.0,42.958333333333336,0.8125,4.378435584331743
130.0,45.833333333333336,0.875,5.061647727106052
135.0,48.833333333333336,1.0,3.274252585038262
140.0,52.458333333333336,1.125,2.562029337566734
145.0,42.1875,1.6875,1.7193400816680202
150.0,45.15625,1.0625,5.47209261009927
155.0,47.75,1.0,4.917122322216909
160.0,50.65625,1.1875,5.039564992964579
165.0,53.46875,1.0,4.821509246040088
170.0,56.0,0.9375,5.629355546341959
175.0,58.34375,0.9375,5.517710432460568
180.0,60.8125,0.9375,5.393574311757924
185.0,56.44444444444444,1.0625,4.902303187792469
190.0,59.02777777777778,1.125,5.424713658169369
195.0,61.5,1.1875,4.900637822081787
200.0,63.22857142857143,1.25,4.915426248901079
205.0,53.86046511627907,1.3125,5.343779135507303
210.0,56.23255813953488,1.0625,5.624631386208453
215.0,58.395348837209305,1.25,6.346663693177867
220.0,55.5531914893617,1.1875,5.6076705982552735
225.0,57.61702127659574,1.3125,5.368877056253154
230.0,58.91304347826087,1.6875,4.38867945850293
235.0,62.31818181818182,1.5,3.5175491737238005
240.0,55.46153846153846,1.75,4.108211509611845
245.0,58.23076923076923,1.75,4.989837296653352
250.0,61.07692307692308,1.875,4.435636268443272
255.0,59.607142857142854,2.375,3.2243842648617496
260.0,62.660714285714285,1.9375,3.673264115191524
265.0,65.80357142857143,2.1875,3.1951942613662574
270.0,67.18181818181819,2.25,3.4047948135854034
275.0,61.36507936507937,2.25,3.950284837605965
280.0,64.4920634920635,2.5625,3.50844529760402
285.0,67.88888888888889,2.5625,3.303955813107664
290.0,70.84126984126983,2.125,4.606201840190336
295.0,68.95384615384616,1.75,6.358628544892194
300.0,71.1076923076923,1.625,6.202506236153633
305.0,73.43076923076923,1.875,5.364608271377589
310.0,67.76712328767124,2.1875,4.230185382358138
315.0,70.26027397260275,2.375,5.305824908393587
320.0,71.11267605633803,2.1875,4.581044067676342
325.0,71.05797101449275,2.75,3.4810644642537834
330.0,70.38356164383562,2.9375,3.769288989051594
335.0,73.61643835616438,3.0625,3.46928250170624
340.0,76.98630136986301,3.125,3.009374715748188
345.0,71.325,3.6875,2.6723125373001344
350.0,74.20253164556962,3.125,3.5190982600433385
355.0,76.85897435897436,2.6875,4.1275436288022735
360.0,79.0909090909091,2.3125,4.115281271654238
365.0,75.7625,2.4375,4.876306526275522
370.0,78.325,2.6875,4.738489073815714
375.0,81.35,3.25,3.120186231112773
380.0,84.85,3.4375,2.549492679147668
385.0,78.65517241379311,3.3125,2.92138421266785
390.0,81.38372093023256,3.25,3.772523810759157
395.0,84.32558139534883,3.125,4.084957012645686
400.0,83.45555555555555,3.1875,3.501299986997111
405.0,79.31632653061224,2.9375,5.227901080710096
410.0,81.4020618556701,2.6875,5.665676145593074
415.0,82.40425531914893,2.75,5.160736472315673
420.0,81.40816326530613,2.875,5.296919871977412
425.0,83.16842105263157,3.0625,4.925796805305496
430.0,78.77450980392157,3.875,3.6318829175373715
435.0,81.53921568627452,3.5,4.80233238578381
440.0,84.26470588235294,3.125,4.528427824397461
445.0,83.60377358490567,3.875,3.8823082510863633
450.0,86.4622641509434,3.75,4.1883916577109535
455.0,89.37735849056604,4.0,3.7394961659462194
460.0,85.72566371681415,4.0,3.254848557006219
465.0,86.78378378378379,4.1875,3.59561874454905
470.0,89.8108108108108,4.1875,3.7829074559393066
475.0,87.41071428571429,3.5625,4.3918480064069865
480.0,90.03571428571429,3.5625,4.461297371514209
485.0,89.41818181818182,4.0625,4.004042651871727
490.0,86.07627118644068,4.125,4.069564177983143
495.0,87.4957264957265,4.25,3.280296116306457
500.0,89.4396551724138,5.125,2.8453903267617595
505.0,89.15966386554622,4.75,3.0804450520397917
510.0,92.46218487394958,4.8125,3.3702617849445407
515.0,95.75630252100841,5.0,2.9808750928477648
520.0,92.89763779527559,4.875,3.591196956219686
525.0,95.05555555555556,4.4375,4.069746188066628
530.0,97.8015873015873,4.125,4.7819033905509585
535.0,96.84251968503936,3.75,4.801111917402474
540.0,99.3015873015873,4.1875,4.420899980544746
545.0,95.11278195488721,4.9375,3.4012567284767283
550.0,94.99230769230769,4.75,4.120688346978133
555.0,97.5891472868217,5.5,3.2096610402029278
560.0,98.54961832061069,6.1875,2.145388874647967
565.0,102.2015503875969,5.1875,2.7244868240882347
570.0,103.8203125,5.0625,3.1316308476075174
575.0,100.55882352941177,4.8125,4.160323184663074
