net,pr,collaborate,accident_edge,algorithm,extra_module,C2_avg_speed,C2_avg_stopped,avg_speed,avg_stopped
4x4,0.2,true,"B2C2,D3C3,D3D2",ppo,None,9.357899047801679,3.2379958246346554,5.178429141350577,2.3198068893528183
4x4,0.2,true,None,ppo,None,7.830129438460413,2.799582463465553,5.680957499634431,1.8019311064718162
4x4,1,true,"B2C2,D3C3,D3D2",fix-time,None,11.246546744794008,8.448851774530272,4.529746254773533,5.020093945720251
4x4,1,true,"B2C2,D3C3,D3D2",ppo,None,15.279116444967865,4.118997912317328,6.3349626388771885,1.3971816283924843
4x4,1,true,None,fix-time,None,13.232155081096325,8.137787056367433,5.576673631197951,4.8346816283924845
4x4,1,true,None,ppo,None,18.669967712867653,2.4279749478079333,6.606543604877075,1.1401356993736953
