arch,path,step_time,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,310.0,0.29875,1.0,9.413889815568352,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,315.0,0.33125,1.375,10.1486013851188,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,320.0,0.34625,2.0,10.554970491884909,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,325.0,0.44,3.0,10.222694786181936,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,330.0,0.3662499999999999,1.75,10.19476624309149,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,335.0,0.35375,1.75,9.990752793348747,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,340.0,0.365,2.0,9.2817731310843,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,345.0,0.35375,1.125,8.997259568931565,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,350.0,0.3,1.25,9.322535947977377,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,355.0,0.32375,2.0,9.328602433414476,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,360.0,0.24875,1.75,8.929146543106507,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,365.0,0.27625,2.125,8.811107154764246,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,370.0,0.26875,1.5,8.89711827580365,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,375.0,0.27125,1.375,9.495611872962836,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,380.0,0.2825,1.25,10.0421036941299,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,385.0,0.21875,1.125,9.909084962517548,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,390.0,0.18625,1.125,9.288342099721056,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,395.0,0.195,0.875,9.02441304614252,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,400.0,0.18875,1.25,8.988658833032801,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,405.0,0.17625,1.375,8.97066673212608,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,410.0,0.25125,1.5,9.2345758383471,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,415.0,0.25625,1.125,9.718961606617878,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,420.0,0.18625,1.25,9.76738445544901,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,425.0,0.2225,1.5,9.70221868543177,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,430.0,0.19,1.125,9.768264225303357,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,435.0,0.18625,1.25,9.752354544400404,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,440.0,0.21,1.5,9.390733279769124,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,445.0,0.2625,1.625,9.09527181382644,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,450.0,0.3575,2.0,8.917830670250833,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,455.0,0.3675,1.625,8.427433743884679,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,460.0,0.3025,2.25,7.891168173418018,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,465.0,0.31625,2.125,7.408483469354584,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,470.0,0.34125,1.875,7.993656925516508,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,475.0,0.2749999999999999,1.125,8.975268826350538,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,480.0,0.27375,1.625,9.34803478897726,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,485.0,0.335,2.25,9.10170332220526,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,490.0,0.40375,1.25,9.008226756796535,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,495.0,0.2174999999999999,0.75,9.060200251278369,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,500.0,0.1925,0.625,9.369320129566288,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,505.0,0.15875,1.125,9.62805576231334,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,510.0,0.165,1.125,9.425436663573006,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,515.0,0.22875,1.75,9.177005315068785,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,520.0,0.27875,2.125,8.766609232610248,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,525.0,0.35375,2.0,8.66303489793765,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,530.0,0.38125,1.5,9.192356350735848,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,535.0,0.23125,0.5,9.830522224352649,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,540.0,0.1699999999999999,0.625,9.891514172742998,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,545.0,0.21375,1.75,9.480607734724702,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,550.0,0.27375,1.125,9.105492236876838,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,555.0,0.2299999999999999,0.5,9.452920793723628,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,560.0,0.24,0.625,9.821923985144684,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,565.0,0.2224999999999999,1.0,10.18999450306535,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,570.0,0.2525,1.25,10.310723252159653,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,575.0,0.32375,2.125,9.799219008885116,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,580.0,0.3575,2.125,9.263525209994636,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,585.0,0.3325,1.75,8.706159940102289,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,590.0,0.3525,1.375,8.366014703377427,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,595.0,0.3662499999999999,1.625,7.876080182163579,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,600.0,0.39,2.0,7.39053875183904,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,605.0,0.44875,2.125,8.007708393517381,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,610.0,0.4675,2.25,8.651601389141168,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,615.0,0.57625,2.75,8.765058393214389,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,620.0,0.55375,2.875,8.618850867031673,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,625.0,0.66125,2.75,7.989010977063804,MAPO-PPO,100%,MAPO-PPO/100%
