step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,-0.0331249999999999,16,2.3799999999999994,0.14875,2.712022740286377,2,50.0,0.0,2,59.0,0.0,2,47.0,0.0,5,60.0,0.0002796556246053,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0954613430865541,1,0.0,0.3390062189714593,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6689887545577,1,3.0,0.6467482006505093,0,0.0,1.0,0,0.0,0.103525271095609,1,14.0,0.0,1,0.0,0.4151238683745117,16,238.0
60.0,-0.04125,15,3.039999999999999,0.19,2.504853908608128,2,60.0,0.0,2,69.0,0.0,1,49.0,0.120386821569631,4,80.0,0.0025185367358305,0,0.0,1.0,0,0.0,1.0,2,13.0,3.527757346027613e-05,1,3.0,0.392142330433492,0,0.0,1.0,0,0.0,1.0,1,3.0,0.0001748488201033,0,3.0,0.5772162416387162,0,0.0,1.0,1,5.0,2.1326609648281577e-05,1,19.0,0.0,0,0.0,0.848414918985738,15,304.0
65.0,-0.055625,20,3.9300000000000006,0.2456249999999999,1.5213197765219384,2,70.0,0.0,2,79.0,0.0,2,57.0,1.0571961262432975e-05,5,105.0,2.9312566565650617e-06,0,0.0,1.0,0,0.0,1.0,2,23.0,0.0,2,10.0,0.3193251613485374,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,1,6.0,0.3616767914885515,0,0.0,1.0,1,10.0,0.0,1,24.0,0.0,1,1.0,0.4782296908669798,20,393.0
70.0,0.0425,14,3.25,0.203125,4.567999595451712,2,80.0,0.0,2,89.0,0.0,0,0.0,1.0,3,49.0,0.0,0,0.0,1.0,0,0.0,1.0,2,35.0,0.4219479537881531,1,7.0,0.6634937276467658,0,0.0,1.0,0,0.0,1.0,1,14.0,0.317838830019008,0,1.0,0.9525847601134336,0,0.0,1.0,1,15.0,0.0,1,29.0,0.0,1,6.0,0.4267799777802178,14,325.0
75.0,-0.044375,14,3.96,0.2475,5.695047552563103,2,90.0,0.2475414994371159,2,99.0,0.1690070905931863,0,0.0,0.4758687169039015,3,64.0,0.2129152130021749,0,0.0,1.0,0,0.0,1.0,2,44.0,0.4447977857803863,1,12.0,0.6524764892465797,0,0.0,1.0,0,0.0,1.0,1,21.0,0.6189695617923076,0,1.0,0.7696813012402749,0,0.0,1.0,1,20.0,0.0,1,34.0,0.0,1,11.0,0.5396786936306435,14,396.0
80.0,-0.045,15,4.68,0.2925,5.854141684066791,2,100.0,0.043653371595074,2,109.0,0.3296869355581609,0,0.0,0.9677713953145112,4,81.0,0.000669124060733,0,0.0,1.0,0,0.0,1.0,2,54.0,0.439079402162626,1,17.0,0.5982512658385346,0,0.0,1.0,0,0.0,1.0,1,26.0,0.5847704168292448,0,1.0,0.9052251890540788,0,0.0,1.0,1,25.0,0.0,1,39.0,0.0,1,16.0,0.543667553941723,15,468.0
85.0,-0.0518749999999999,20,5.51,0.344375,3.411931652546679,3,114.0,1.267470008988386e-05,2,119.0,0.0040562375951885,0,0.0,0.890266526201969,4,101.0,0.0,0,0.0,1.0,0,0.0,0.5230690269980437,2,63.0,0.1467284235875608,2,23.0,0.4631738798961145,0,0.0,1.0,0,0.0,1.0,2,31.0,0.2809624576111569,1,2.0,0.3894351194025732,0,0.0,1.0,1,30.0,0.0,1,44.0,0.0,2,24.0,0.4181461403043831,20,551.0
90.0,-0.06625,22,6.57,0.410625,3.3385959044843965,3,129.0,0.0,3,134.0,0.0,0,0.0,0.8458503804096088,4,121.0,0.0,0,0.0,1.0,0,0.0,0.92531349176451,2,73.0,0.2817867034713045,2,33.0,0.4294625567005931,0,0.0,1.0,0,0.0,1.0,2,41.0,0.0099590165156416,2,8.0,0.2993965583080117,0,0.0,1.0,1,35.0,0.0,1,49.0,0.0,2,34.0,0.423973694952691,22,657.0
95.0,-0.071875,23,7.720000000000001,0.4825,4.468183268808208,3,144.0,0.0,3,149.0,0.0,0,0.0,0.939544099009174,4,141.0,0.18773494841635,0,0.0,1.0,0,0.0,0.9050936171281868,2,83.0,0.3192967600296194,2,43.0,0.5478292407284697,0,0.0,1.0,0,0.0,1.0,3,56.0,0.0,2,18.0,0.4770910830333332,0,0.0,1.0,1,40.0,0.0,1,54.0,0.0,2,44.0,0.5262342907855314,23,772.0
100.0,-0.0725,24,8.879999999999999,0.5549999999999999,3.2588165568653604,3,159.0,0.0,3,164.0,0.2109789081136092,0,0.0,1.0,4,161.0,0.1680857408733995,0,0.0,1.0,1,1.0,0.4985990609371178,2,93.0,0.0796486805028448,2,53.0,0.2191447906304755,0,0.0,1.0,0,0.0,1.0,3,71.0,0.0,2,28.0,0.4719438070369065,0,0.0,1.0,1,45.0,0.0,1,59.0,0.2833932482287656,2,54.0,0.4311661695166173,24,888.0
105.0,-0.081875,28,10.19,0.6368750000000001,2.153515133175568,3,174.0,0.0,3,179.0,0.2238778316736432,0,0.0,1.0,4,181.0,0.1981226450895664,0,0.0,1.0,2,7.0,0.0027839130965907,3,106.0,0.0001173643528415,3,68.0,0.2224714965174668,0,0.0,1.0,0,0.0,1.0,3,86.0,0.0,2,38.0,0.2832230468170317,0,0.0,1.0,1,50.0,0.0,1,64.0,0.4756328660549319,3,66.0,0.1750212272192375,28,1019.0
110.0,0.06625,26,9.13,0.5706249999999999,2.4137858075284058,2,94.0,0.0792276567470185,1,95.0,0.2835768610190869,0,0.0,0.220303229799113,4,201.0,0.1868974016261812,0,0.0,1.0,2,17.0,1.938583547792989e-05,2,61.0,0.0,3,83.0,0.2331426957759845,0,0.0,1.0,0,0.0,1.0,3,101.0,0.0,3,51.0,0.2235819480586963,0,0.0,1.0,1,55.0,0.0,1,69.0,0.4390907002484662,4,86.0,0.192663525755606,26,913.0
115.0,0.0093749999999999,27,8.98,0.56125,3.672557635504581,0,0.0,0.8313359581390114,2,105.0,0.3850671162072894,0,4.0,0.9034843701607044,6,224.0,0.1147044777178547,0,0.0,1.0,2,31.0,0.3747503065651801,1,13.0,0.0,4,99.0,0.0485051405478865,0,0.0,1.0,0,0.0,1.0,3,116.0,0.0,3,66.0,0.3780675045449542,0,0.0,1.0,1,60.0,0.0,1,74.0,0.0043750940388593,4,106.0,0.2948282532113993,27,898.0
120.0,-0.0931249999999999,33,10.47,0.6543749999999999,2.9072639232431534,0,0.0,0.8636888971194874,3,117.0,0.4047798697419281,0,0.0,0.9123038952429764,7,257.0,1.9039906880239387e-05,0,0.0,1.0,2,41.0,0.451999457512477,1,18.0,0.0,5,121.0,0.000132853066868,0,0.0,1.0,0,0.0,1.0,3,131.0,0.0,4,83.0,0.1604024086033387,0,0.0,1.0,1,65.0,0.0,2,84.0,0.0,5,130.0,0.1590132204585263,33,1047.0
125.0,-0.10375,35,12.13,0.7581249999999999,2.0923685884383647,0,0.0,0.1406264684264405,4,134.0,0.3859754577472046,1,3.0,0.4509742492934309,7,292.0,0.0,0,0.0,1.0,2,47.0,0.2633164807056333,1,23.0,0.0,5,146.0,0.0,0,0.0,1.0,0,0.0,1.0,3,146.0,0.0,4,103.0,0.1839134502908392,0,0.0,1.0,1,70.0,0.0,2,94.0,0.0,5,155.0,0.1483688721672426,35,1213.0
130.0,-0.11625,39,13.990000000000002,0.874375,1.4739699723518342,1,5.0,0.0,6,158.0,0.1410517947379581,2,10.0,0.0017497133685162,7,327.0,0.0936264438060179,0,0.0,1.0,2,57.0,0.0191178581499096,1,28.0,0.0,5,171.0,0.1520078005531795,0,0.0,1.0,0,0.0,1.0,3,161.0,0.0,4,123.0,0.2514798434972229,0,0.0,1.0,1,75.0,0.0,2,104.0,0.0,5,180.0,0.1298399140498642,39,1399.0
135.0,0.4662499999999999,17,6.53,0.408125,5.287448345499609,1,10.0,0.0,4,174.0,0.096459654703348,1,15.0,0.3997974378487715,2,60.0,0.0937815797538421,0,0.0,1.0,2,67.0,0.0,0,4.0,0.5859253754969049,3,124.0,0.2738908454835031,0,0.0,1.0,0,4.0,0.5131605963078503,0,45.0,0.466142863217123,2,91.0,0.2734310835969223,0,0.0,1.0,0,4.0,0.8277169476159925,0,2.0,0.8437505241809216,2,53.0,0.2732233288398137,17,653.0
140.0,0.106875,13,4.819999999999999,0.30125,8.04440927562772,1,15.0,0.0,4,194.0,0.0,1,32.0,0.7179254289048262,1,23.0,0.0,0,4.0,0.8900216316876841,2,79.0,0.294907576201702,0,4.0,0.971723764940108,2,63.0,0.4537709403238576,0,0.0,1.0,0,6.0,0.9214709437570224,0,2.0,0.9974687268136984,1,25.0,0.4036075942578284,0,0.0,1.0,0,4.0,0.9073834855420032,0,7.0,0.9103676868917484,1,24.0,0.1912493903272961,13,482.0
145.0,-0.03,20,5.300000000000001,0.33125,7.599447288858516,2,20.0,0.0,5,214.0,0.0,2,35.0,0.6611627383260889,3,28.0,0.0,0,4.0,0.9255476756776712,2,87.0,0.3050173758695941,0,6.0,0.9594578902166429,2,63.0,0.558741777474525,0,0.0,1.0,0,4.0,0.9068082387543008,0,2.0,0.8608078856781066,2,27.0,0.4715846002189067,0,0.0,1.0,0,4.0,0.9836911416307592,0,7.0,0.8742343934411728,2,29.0,0.0,20,530.0
150.0,-0.0324999999999999,13,5.819999999999999,0.36375,8.43783605770901,1,25.0,0.4457125093752161,4,234.0,0.1797033276009425,1,38.0,0.7303403570509897,1,33.0,0.631346721911491,0,2.0,0.9964593252016102,2,97.0,0.0084832901201348,0,6.0,0.5665429840621881,2,70.0,0.6188786598529818,0,0.0,0.9049110134927296,0,2.0,0.5036982968332858,0,2.0,0.92475299046088,1,32.0,0.7159052652582112,0,0.0,0.879298182455621,0,0.0,1.0,0,7.0,0.9214626947111686,1,34.0,0.3273331667883272,13,582.0
155.0,-0.045,20,6.539999999999999,0.40875,6.041160484060255,1,30.0,0.2068115268350369,4,254.0,0.1652206343105749,3,46.0,0.2193136603226207,1,38.0,0.733156372536465,0,0.0,1.0,3,111.0,3.057033748394043e-05,2,14.0,0.1924771331929249,3,79.0,0.3592884719708414,0,0.0,0.9113589509695544,1,6.0,0.4334832576606626,0,0.0,1.0,1,37.0,0.609463104456874,0,0.0,0.9708351800285256,0,0.0,0.8304473677958869,0,0.0,1.0,1,39.0,0.0,20,654.0
160.0,-0.0724999999999999,29,7.7,0.4812499999999999,4.687465584766997,2,39.0,3.421676418407985e-05,4,278.0,0.1695066422579967,5,66.0,0.006411436366578,2,46.0,0.6073320780477457,0,1.0,0.9629651169775632,2,117.0,0.0,5,33.0,0.1581681228897663,4,88.0,0.1766355306597541,0,0.0,0.8978433893341901,1,11.0,0.4727891332813899,0,0.0,1.0,3,47.0,0.2828879548289659,0,0.0,0.9613148563973064,0,0.0,0.8434319159920598,0,0.0,1.0,1,44.0,0.0,29,770.0
165.0,-0.080625,29,8.99,0.5618750000000001,4.827455278816483,2,49.0,0.0,5,300.0,0.1437917318932798,4,83.0,0.0375366427761196,2,56.0,0.5572530475488339,0,1.0,0.8502480184884823,2,127.0,0.2717542474482483,3,41.0,0.1798737882922252,5,111.0,0.1533285991136332,0,0.0,0.8820269105080156,1,16.0,0.4717176597155398,0,0.0,1.0,4,66.0,0.234426463505504,0,0.0,0.8489482307554508,0,0.0,0.9321620830422798,0,0.0,1.0,1,49.0,0.3304588320696727,29,899.0
170.0,-0.0956249999999999,31,10.52,0.6575,5.023821658546816,2,59.0,0.0,5,326.0,0.2694007465350079,4,101.0,0.3146869342505588,2,66.0,0.1010615225507406,0,1.0,0.8322422886628339,2,137.0,0.3118379670191274,4,61.0,0.1856072894877937,6,140.0,0.3551899469467452,0,0.0,0.8293910375932204,1,21.0,0.4714326216315286,0,0.0,1.0,4,86.0,0.1488448436559362,0,0.0,1.0,0,0.0,0.936802031032092,0,0.0,1.0,1,54.0,0.4732979639891272,31,1052.0
175.0,-0.103125,36,12.169999999999998,0.7606249999999999,4.250998006397274,2,69.0,0.0,6,354.0,0.2957281576542828,5,124.0,0.2544242694812204,2,76.0,0.0,0,1.0,0.591201732947929,2,147.0,0.2752254090565136,5,82.0,0.0003454148006642,5,165.0,0.4349620546427742,1,3.0,0.5943447002085207,1,26.0,0.0,0,0.0,1.0,6,111.0,0.0002458074878157,0,0.0,0.9303705559383408,0,0.0,0.1130560001159478,0,0.0,1.0,1,59.0,0.4554269240611059,36,1217.0
180.0,0.1624999999999999,27,9.57,0.598125,5.117890454177505,2,79.0,0.0,5,312.0,0.2479384077176287,2,88.0,0.3869253434073817,2,86.0,0.0,0,0.0,0.8239090642854319,0,0.0,0.6415328220763881,1,49.0,0.408714994583551,5,95.0,0.2624632170637893,1,8.0,0.6769112440704179,1,31.0,0.4090957549195965,0,1.0,0.6971224139307732,6,141.0,0.1264904757090175,0,0.0,0.8656244756198298,1,3.0,0.0002001491674843,0,0.0,1.0,1,64.0,0.432158607190558,27,957.0
185.0,-0.076875,32,10.8,0.675,5.553767772724989,2,89.0,0.2800495535795842,5,337.0,0.2547783702450338,2,90.0,0.4162805402894566,2,96.0,0.4411331869960608,0,0.0,0.0503069523097209,0,0.0,0.8765666124667646,1,37.0,0.6432880939888126,9,132.0,0.154968813389132,1,13.0,0.4584472234748714,1,37.0,0.7119409864145008,0,0.0,0.9106010995338224,6,171.0,0.2185762613880114,0,0.0,0.8779439747169439,1,8.0,0.0,0,0.0,1.0,2,70.0,0.2920249479378677,32,1080.0
190.0,-0.108125,37,12.53,0.7831250000000001,4.531041302715627,2,99.0,0.3051471732793383,5,362.0,0.1632130759672942,4,105.0,0.0014268483534531,2,106.0,0.4253617193033452,1,5.0,3.655804279610547e-05,0,0.0,0.8887586186220102,1,42.0,0.7667094528796736,9,177.0,0.0931382695254159,2,20.0,0.254727161375408,1,41.0,0.6545503274519442,0,0.0,0.8912810733652745,6,201.0,0.1215426480105734,1,2.0,0.0094042609681246,1,13.0,0.0,0,0.0,1.0,2,80.0,0.3139305579482985,37,1253.0
195.0,-0.12875,44,14.589999999999998,0.911875,2.8027068633736345,2,109.0,0.3012227368521042,5,387.0,0.1451351504813551,4,125.0,0.0,3,117.0,0.2231241830114883,1,10.0,0.0,1,1.0,0.7074893572970993,1,47.0,0.4305543227657044,10,227.0,0.0764950786552635,3,35.0,0.0054797594924198,2,48.0,0.4146304663543274,1,1.0,0.4666899002813835,6,233.0,0.0609911136804168,2,11.0,2.9470349786237248e-05,1,18.0,0.0,0,0.0,1.0,2,90.0,0.2746461010415513,44,1459.0
200.0,0.495625,24,6.660000000000001,0.41625,3.778033545280318,0,0.0,0.8866179706018312,4,146.0,0.1597283520087901,1,16.0,0.0790497592966267,1,48.0,0.3568338704073822,1,15.0,0.0,0,0.0,0.928147114081966,1,6.0,0.1231984004229349,7,235.0,0.0536860669441061,2,38.0,0.0,0,0.0,0.7364998160714818,1,4.0,0.0898700774034188,2,98.0,0.1465502070206161,2,21.0,0.0,1,23.0,0.0,0,0.0,1.0,1,16.0,0.1775670680937534,24,666.0
205.0,0.0025,24,6.619999999999999,0.4137499999999999,8.018896207660827,0,0.0,0.9443522030030056,3,118.0,0.3472061783149328,1,13.0,0.6299649075525435,1,11.0,0.6933307940995564,1,29.0,0.7435535174347998,0,6.0,0.8925804729571153,0,6.0,0.918596383845221,8,277.0,0.3539909975893452,2,48.0,0.2694122098408553,0,6.0,0.9239052872831384,0,7.0,0.7475430560789706,3,48.0,0.5242819372176095,2,34.0,0.3223413253500717,1,31.0,0.6209951215727137,0,3.0,0.8381020371927554,2,25.0,0.4448750616321263,24,662.0
210.0,-0.05875,28,7.56,0.4725,7.478746385340536,0,0.0,0.9747201648862512,3,133.0,0.0,1,18.0,0.7210736900786896,2,5.0,0.3514401399506676,1,25.0,0.733430002926054,0,3.0,0.8966313212360963,0,6.0,0.9199076140001546,9,314.0,0.2141940649773036,2,58.0,0.3200676445994141,0,6.0,0.860841928535313,0,7.0,0.8861195147894259,4,63.0,0.4587327284550932,2,44.0,0.3072879590818152,1,36.0,0.6191175119465432,0,3.0,0.93945342921319,3,35.0,0.3204564852276351,28,756.0
215.0,-0.0768749999999999,29,8.79,0.549375,7.256643676050781,0,0.0,0.8999753573759564,3,148.0,0.0,1,20.0,0.6757876206230025,2,15.0,0.488264525477724,1,30.0,0.609103632609914,0,3.0,0.7158610898641704,0,6.0,0.9714133176201516,11,363.0,0.1340354110118128,2,68.0,0.2921272979011057,0,3.0,0.7698027796104215,0,7.0,0.9096112609810691,3,72.0,0.4582366848863439,2,54.0,0.294907576201702,1,38.0,0.4539824935207707,0,3.0,0.939217054356568,3,49.0,0.2915408010186819,29,879.0
220.0,-0.08875,36,10.21,0.638125,5.092142672895173,0,0.0,0.2162099563523852,3,163.0,0.2081970613836107,1,25.0,0.4380567901856204,2,25.0,0.2331960420956305,2,37.0,0.0004529991241805,1,6.0,0.447851528284042,0,0.0,1.0,12,411.0,0.0755801524864409,2,78.0,0.5004683275643163,2,9.0,0.5287037890699209,0,3.0,0.6425777339267154,3,87.0,0.192171122713584,2,61.0,0.0,1,43.0,0.6516849151121333,1,6.0,0.5964790761076909,4,67.0,0.3813458344655254,36,1021.0
225.0,-0.120625,42,12.14,0.75875,5.860262719650339,0,0.0,1.0,3,178.0,0.3371771647318718,3,39.0,0.3743304267082646,3,40.0,0.4762635575561929,1,40.0,0.4744689006033,3,18.0,7.15918029427893e-05,0,0.0,1.0,10,457.0,0.10217768812598,3,91.0,0.4867565022872506,3,20.0,0.2452681651302401,2,10.0,0.558065713115176,3,104.0,0.2974220233289101,2,71.0,0.0,1,48.0,0.7317256912640473,1,11.0,0.6953362810655568,4,87.0,0.523986857373663,42,1214.0
230.0,-0.139375,47,14.37,0.8981250000000001,5.279913492107153,0,2.0,0.9709147798387572,3,193.0,0.3412920546316183,4,58.0,0.0028354984298612,3,55.0,0.3389577201802281,1,45.0,0.5711230641389159,3,31.0,0.0,0,0.0,0.7954731934472467,12,515.0,0.0874297786371091,3,106.0,0.3759546298844532,4,40.0,0.3777357050638164,2,20.0,0.5683996279985126,5,125.0,0.1996960791180778,2,81.0,0.3070355707337636,1,53.0,0.645662160392194,1,16.0,0.7056529430064434,3,97.0,0.4343660159239133,47,1437.0
235.0,-0.1387499999999999,52,16.590000000000003,1.036875,4.552011219166947,0,2.0,0.9586964124291932,3,208.0,0.1956071567801557,5,82.0,0.0,5,78.0,0.4510895474625626,1,50.0,0.457710416686048,2,36.0,0.0,0,0.0,0.7282441893030766,12,569.0,0.1314043995000861,3,121.0,0.1751514038500569,5,62.0,0.3448313626708091,2,30.0,0.3193815948799458,5,150.0,0.1986819660089661,2,91.0,0.4632042733315513,1,58.0,0.3989883815258658,1,5.0,0.2987179930688777,5,117.0,0.3115645436664965,52,1659.0
240.0,-0.175,58,19.390000000000004,1.211875,4.263660715659655,0,2.0,0.8018187394623673,4,228.0,0.1707827696998592,5,107.0,0.2053506856788438,5,103.0,0.4367078161681103,1,55.0,0.0142920357954829,2,46.0,0.2797824312115067,0,0.0,0.8450714597513025,12,628.0,0.098654788193241,5,143.0,0.1596190466938241,6,89.0,0.3606834665964605,2,40.0,0.0139514158837712,6,179.0,0.2123521516445783,2,101.0,0.5163601862434737,1,63.0,0.4157845055688171,1,10.0,0.0,6,145.0,0.0983761328644273,58,1939.0
