step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,9.978073325847696,0,0.0,0.9222583708720232,0,0.0,0.9940047236877164,0,0.0,0.0671804404024803,0,0.0,0.6147236911984951,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.994200087711156,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9951290538814836,0,0.0
10.0,-0.008125,3,0.13,0.008125,7.447525760551529,1,3.0,7.539764615247213e-05,0,0.0,0.894175454393379,1,5.0,0.0,1,5.0,0.4143460833567132,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9948859730942404,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976238874482483,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.914021367353791,3,13.0
15.0,-0.009375,3,0.28,0.0175,7.571060280991766,1,8.0,0.0,0,0.0,0.9533727064477164,1,10.0,0.0,1,10.0,0.4171228528949895,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9097306703924164,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.954892118597545,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9621170030011648,3,28.0
20.0,-0.0093749999999999,3,0.43,0.026875,4.887890878145087,1,13.0,0.0,0,0.0,0.9505954174462292,1,15.0,0.0,1,15.0,0.1300851581106117,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7992061313581442,0,0.0,0.3823926290442761,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2693477323779857,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6219877400008367,3,43.0
25.0,-0.011875,5,0.62,0.03875,6.856401476140452,1,18.0,0.0,0,0.0,0.9188771015753566,1,20.0,0.0,2,23.0,0.3092077633500159,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0,0,0.0,0.9039033775360448,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9356512464402632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9042086132159628,5,62.0
30.0,-0.01625,6,0.8800000000000001,0.055,5.858862544369567,1,23.0,0.0,1,1.0,0.0030367295194047,1,25.0,0.0,2,33.0,0.3002165416801051,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,0.8653090577767588,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8441961803860063,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9951290538814836,0,0.0,0.8297697080184355,6,88.0
35.0,-0.020625,8,1.2100000000000002,0.075625,4.041559083181309,1,28.0,0.0,1,6.0,0.0,1,30.0,0.0,3,45.0,0.0001606911083439,0,0.0,1.0,0,0.0,1.0,1,11.0,0.0,1,1.0,0.4401004835930466,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9642658575915504,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.914021367353791,0,0.0,0.9037429524837036,8,121.0
40.0,-0.021875,9,1.56,0.0975,6.108877839039083,1,33.0,0.4460115259681674,1,5.0,0.4113644506617553,1,35.0,0.3793696850798295,3,60.0,0.3027726328413362,0,0.0,1.0,0,0.0,1.0,1,16.0,0.0,2,7.0,0.2519103161188132,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7664133221557323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7045912044887472,9,156.0
45.0,0.0068749999999999,5,1.4500000000000002,0.090625,8.171376628096855,1,38.0,0.452524841973615,1,10.0,0.4770054577660047,1,40.0,0.4940594601165156,1,51.0,0.5136359501685012,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9293556151120926,1,6.0,0.4557682743298694,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.976027874622793,0,0.0,1.0,0,0.0,0.9951290538814836,0,0.0,0.8595525286489438,0,0.0,0.3746960284527647,5,145.0
50.0,-0.019375,8,1.76,0.11,7.286610616946331,1,43.0,0.423342362225011,2,16.0,0.0027162448154433,1,45.0,0.4186529792972722,1,45.0,0.6018065256781177,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8441961803860063,1,14.0,0.6328022126173674,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9308014070399326,1,6.0,0.4633719231848341,0,0.0,1.0,0,0.0,0.914021367353791,0,0.0,0.935780439716562,1,4.0,0.0,8,176.0
