step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,gneJ2_stopped,gneJ2_accumulated_waiting_time,gneJ2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
525.0,-0.21000000000000008,5,0.56,0.56,6.778257749236501,5,56.0,0.1362802439310198,5,56.0
530.0,-0.25,5,0.81,0.81,8.367951036377365,5,81.0,0.1645057777874415,5,81.0
535.0,-0.25,5,1.06,1.06,7.7756096706557,5,106.0,0.16123887490014277,5,106.0
540.0,-0.29000000000000004,7,1.35,1.35,6.905059755442427,7,135.0,0.38350683346551295,7,135.0
545.0,1.31,1,0.04,0.04,8.660302241595726,1,4.0,0.6616523444042821,1,4.0
550.0,-0.049999999999999996,1,0.09,0.09,10.920250481913275,1,9.0,0.45907174445141397,1,9.0
555.0,-0.05000000000000002,1,0.14,0.14,10.502814048254407,1,14.0,0.007148885835167983,1,14.0
560.0,-0.09999999999999998,2,0.24,0.24,10.488317067291312,2,24.0,0.6427200140405716,2,24.0
565.0,-0.12,3,0.36,0.36,8.325911313383887,3,36.0,0.49906792653619064,3,36.0
570.0,-0.17000000000000004,4,0.53,0.53,7.3134972791622666,4,53.0,0.4134374824383481,4,53.0
575.0,-0.19999999999999996,4,0.73,0.73,6.469741932439133,4,73.0,0.21026314975122373,4,73.0
580.0,-0.24,5,0.97,0.97,7.530984299465104,5,97.0,0.35418291948727154,5,97.0
585.0,-0.30000000000000004,6,1.27,1.27,6.332267702971751,6,127.0,0.3372955079452781,6,127.0
590.0,1.03,5,0.24,0.24,6.749312389022973,5,24.0,0.26198878435585915,5,24.0
595.0,-0.28,6,0.52,0.52,8.790314112618653,6,52.0,0.3860248650416434,6,52.0
600.0,-0.30999999999999994,7,0.83,0.83,6.891352297290166,7,83.0,0.3331559834488798,7,83.0
605.0,-0.39,8,1.22,1.22,4.613054169806891,8,122.0,0.05629675364865114,8,122.0
610.0,-0.41999999999999993,9,1.64,1.64,3.4013373277112255,9,164.0,0.14703682658798595,9,164.0
615.0,-0.4800000000000002,10,2.12,2.12,4.853214764002432,10,212.0,0.10554847584150379,10,212.0
620.0,-0.5299999999999998,11,2.65,2.65,4.108656875356143,11,265.0,0.139643788073765,11,265.0
625.0,-0.5500000000000003,11,3.2,3.2,4.099491583673089,11,320.0,0.20896243776736334,11,320.0
630.0,-0.5799999999999996,12,3.78,3.78,3.0932806868809735,12,378.0,0.1816578374642655,12,378.0
635.0,2.86,2,0.92,0.92,6.270177978353696,2,92.0,0.4275466545504256,2,92.0
640.0,0.54,4,0.38,0.38,7.603442597069429,4,38.0,0.365290916409521,4,38.0
645.0,0.03999999999999998,4,0.34,0.34,9.118247471979815,4,34.0,0.45145972636197523,4,34.0
650.0,-0.21000000000000002,6,0.55,0.55,9.006752468396853,6,55.0,0.11611214241676704,6,55.0
655.0,-0.35,7,0.9,0.9,7.972707528005967,7,90.0,0.17912068058035582,7,90.0
660.0,-0.41000000000000003,9,1.31,1.31,7.0964580859894815,9,131.0,0.17215663905767975,9,131.0
665.0,-0.44999999999999996,9,1.76,1.76,6.551497539421692,9,176.0,0.24490650818860657,9,176.0
670.0,-0.4999999999999998,12,2.26,2.26,3.23325108455817,12,226.0,0.13009822325224632,12,226.0
675.0,-0.6000000000000001,12,2.86,2.86,2.832985922898311,12,286.0,0.11122583991056352,12,286.0
680.0,2.51,2,0.35,0.35,4.884121411962107,2,35.0,0.29356414929821073,2,35.0
685.0,-0.11000000000000004,4,0.46,0.46,7.98039744636236,4,46.0,0.42957024633266405,4,46.0
690.0,-0.24999999999999994,5,0.71,0.71,7.401046171484284,5,71.0,0.2328966511461893,5,71.0
695.0,-0.28,5,0.99,0.99,7.883571322237205,5,99.0,0.2261247847324851,5,99.0
700.0,0.18999999999999995,4,0.8,0.8,9.058395281162456,4,80.0,0.3814158464250317,4,80.0
705.0,-0.19999999999999996,4,1.0,1.0,7.049739452241592,4,100.0,0.3709121755458408,4,100.0
710.0,-0.27,6,1.27,1.27,5.820114754145601,6,127.0,0.25526344463649525,6,127.0
715.0,-0.3999999999999999,9,1.67,1.67,5.5197770048078,9,167.0,0.2232923664817471,9,167.0
720.0,-0.48,10,2.15,2.15,3.089320894216743,10,215.0,0.15285697954713615,10,215.0
725.0,1.8299999999999998,3,0.32,0.32,6.77629307244117,3,32.0,0.1018766973091068,3,32.0
730.0,0.0,4,0.32,0.32,10.217308827707113,4,32.0,0.4017193905386866,4,32.0
735.0,-0.2,4,0.52,0.52,10.937704657985492,4,52.0,0.47653849650968805,4,52.0
740.0,-0.20999999999999996,5,0.73,0.73,7.307882618734186,5,73.0,0.27403085102753766,5,73.0
745.0,-0.33000000000000007,7,1.06,1.06,5.273778907594747,7,106.0,0.21150475955113335,7,106.0
750.0,-0.42999999999999994,9,1.49,1.49,4.493983367358687,9,149.0,0.2219844254379232,9,149.0
755.0,-0.45999999999999996,10,1.95,1.95,6.219033855133706,10,195.0,0.2979398289279034,10,195.0
760.0,-0.5000000000000002,10,2.45,2.45,4.82598235788151,10,245.0,0.30560691459152795,10,245.0
765.0,-0.71,16,3.16,3.16,2.564121210692949,16,316.0,0.122279649776707,16,316.0
770.0,2.04,3,1.12,1.12,4.244135341143999,3,112.0,0.17764982068245236,3,112.0
775.0,0.7600000000000001,2,0.36,0.36,7.768926204278673,2,36.0,0.28872331226661146,2,36.0
780.0,-0.020000000000000018,3,0.38,0.38,9.160585764697128,3,38.0,0.3052006685945556,3,38.0
785.0,-0.16000000000000003,4,0.54,0.54,8.457222344822872,4,54.0,0.39712562994467876,4,54.0
790.0,-0.25,6,0.79,0.79,7.644962725091047,6,79.0,0.28020421334369633,6,79.0
795.0,-0.43999999999999995,10,1.23,1.23,7.406031561664334,10,123.0,0.2644683484547363,10,123.0
800.0,-0.51,11,1.74,1.74,5.134710874980523,11,174.0,0.05382378514425571,11,174.0
805.0,-0.5999999999999999,13,2.34,2.34,4.976928579543297,13,234.0,0.06929068896681458,13,234.0
810.0,-0.6500000000000004,13,2.99,2.99,4.919276755627929,13,299.0,0.15988241660716399,13,299.0
815.0,2.29,3,0.7,0.7,5.961042391792452,3,70.0,0.41820173450743764,3,70.0
820.0,0.10999999999999999,2,0.59,0.59,9.248800488369373,2,59.0,0.24312031259528746,2,59.0
825.0,0.07999999999999996,3,0.51,0.51,8.91570689401687,3,51.0,0.2106495462708469,3,51.0
830.0,-0.040000000000000036,4,0.55,0.55,9.64853511357452,4,55.0,0.38626234053430236,4,55.0
835.0,-0.21999999999999997,5,0.77,0.77,8.775235505996816,5,77.0,0.3384409617246534,5,77.0
840.0,-0.28,6,1.05,1.05,6.442822164548485,6,105.0,0.2928760181211535,6,105.0
845.0,-0.33999999999999986,7,1.39,1.39,5.9095317906820695,7,139.0,0.16471247266780253,7,139.0
850.0,-0.4800000000000002,10,1.87,1.87,5.683928281036227,10,187.0,0.1550472423775577,10,187.0
855.0,-0.5800000000000001,12,2.45,2.45,5.72405074754892,12,245.0,0.2706723340207485,12,245.0
860.0,2.2,3,0.25,0.25,5.795685122751569,3,25.0,0.3737677750660042,3,25.0
865.0,-0.06,4,0.31,0.31,8.503947163657077,4,31.0,0.10315527879490516,4,31.0
870.0,-0.2,4,0.51,0.51,9.35361997788023,4,51.0,0.4067544673749633,4,51.0
875.0,-0.20999999999999996,5,0.72,0.72,9.087451328965448,5,72.0,0.34132460395998343,5,72.0
880.0,-0.31000000000000005,8,1.03,1.03,6.733875139885531,8,103.0,0.2708878005355679,8,103.0
885.0,-0.3999999999999999,8,1.43,1.43,6.252749719852691,8,143.0,0.16652655873480793,8,143.0
890.0,-0.49,10,1.92,1.92,6.0340104012577696,10,192.0,0.2134747216665657,10,192.0
895.0,-0.5300000000000002,11,2.45,2.45,3.207824400873509,11,245.0,0.1063402628692868,11,245.0
900.0,-0.6199999999999997,13,3.07,3.07,2.3549439469751725,13,307.0,0.031696158659068455,13,307.0
905.0,2.59,3,0.48,0.48,7.264040615022514,3,48.0,0.39558357184067994,3,48.0
910.0,0.019999999999999962,4,0.46,0.46,8.378991072120192,4,46.0,0.2913894914085461,4,46.0
915.0,-0.21000000000000002,5,0.67,0.67,8.87374981252009,5,67.0,0.4441704673857786,5,67.0
920.0,-0.26,7,0.93,0.93,7.250903797865019,7,93.0,0.30687612753568055,7,93.0
925.0,-0.35,7,1.28,1.28,7.8730680156125095,7,128.0,0.2665750347495754,7,128.0
930.0,-0.42999999999999994,9,1.71,1.71,6.0054527935536335,9,171.0,0.16296485014754605,9,171.0
935.0,-0.4900000000000002,10,2.2,2.2,4.906161059840265,10,220.0,0.17179709431026974,10,220.0
940.0,-0.5999999999999996,13,2.8,2.8,2.321830097024213,13,280.0,0.12025861121344762,13,280.0
945.0,-0.6600000000000001,14,3.46,3.46,2.8976369247190465,14,346.0,0.17153863029030908,14,346.0
950.0,2.74,2,0.72,0.72,6.99104340975172,2,72.0,0.47349832813831694,2,72.0
955.0,0.49,3,0.23,0.23,8.674214973284919,3,23.0,0.40296558742053695,3,23.0
960.0,-0.13999999999999999,3,0.37,0.37,9.927722089875209,3,37.0,0.35649340114308165,3,37.0
965.0,-0.15000000000000002,3,0.52,0.52,9.894784911907392,3,52.0,0.49060612896801103,3,52.0
970.0,-0.16999999999999993,4,0.69,0.69,8.208117309680379,4,69.0,0.21632559105540533,4,69.0
975.0,-0.25,5,0.94,0.94,8.554248125166993,5,94.0,0.36498661272939936,5,94.0
980.0,-0.25,5,1.19,1.19,7.922832263071583,5,119.0,0.3793418550013398,5,119.0
985.0,-0.30000000000000004,8,1.49,1.49,3.8129751020449425,8,149.0,0.22617482447396525,8,149.0
990.0,-0.51,12,2.0,2.0,2.080304504425554,12,200.0,0.08922151140537958,12,200.0
995.0,1.74,3,0.26,0.26,7.1848661190272285,3,26.0,0.45887773579564967,3,26.0
1000.0,-0.13,3,0.39,0.39,8.579124016717268,3,39.0,0.4360565401045961,3,39.0
1005.0,-0.14,5,0.53,0.53,7.626784318650605,5,53.0,0.3103570530243733,5,53.0
1010.0,-0.28,6,0.81,0.81,7.161665911025159,6,81.0,0.35643384838981684,6,81.0
1015.0,-0.34999999999999987,7,1.16,1.16,6.614794668344722,7,116.0,0.24595425240520238,7,116.0
1020.0,-0.3900000000000001,9,1.55,1.55,5.520348170514683,9,155.0,0.24518409802090912,9,155.0
1025.0,-0.5199999999999998,12,2.07,2.07,3.214066218884161,12,207.0,0.10904422122044159,12,207.0
1030.0,-0.6300000000000003,13,2.7,2.7,3.235915819555524,13,270.0,0.1263810853032895,13,270.0
1035.0,-0.69,15,3.39,3.39,3.6878770471258324,15,339.0,0.09907033340317868,15,339.0
1040.0,2.68,2,0.71,0.71,6.101826824354161,2,71.0,0.32194234965728635,2,71.0
1045.0,0.48,3,0.23,0.23,8.562066980622594,3,23.0,0.2961053433021948,3,23.0
1050.0,-0.05000000000000002,4,0.28,0.28,8.92325412373518,4,28.0,0.40668084167683005,4,28.0
1055.0,-0.21999999999999997,5,0.5,0.5,7.96426707259811,5,50.0,0.36680006007554566,5,50.0
1060.0,-0.28,7,0.78,0.78,8.462257945195287,7,78.0,0.4020011514953351,7,78.0
1065.0,-0.3899999999999999,10,1.17,1.17,6.064898021280134,10,117.0,0.10121893589690863,10,117.0
1070.0,-0.52,11,1.69,1.69,4.850227876086975,11,169.0,0.1361186005263739,11,169.0
1075.0,-0.6000000000000001,12,2.29,2.29,5.172147484270164,12,229.0,0.21819872057398376,12,229.0
1080.0,-0.7199999999999998,15,3.01,3.01,3.772830209513206,15,301.0,0.1348199800580589,15,301.0
1085.0,2.44,0,0.57,0.57,7.157357471347316,0,57.0,0.501506913527376,0,57.0
1090.0,0.41999999999999993,3,0.15,0.15,8.301381609338236,3,15.0,0.4572056789933003,3,15.0
1095.0,-0.06,3,0.21,0.21,8.142589898627175,3,21.0,0.2550888262244414,3,21.0
1100.0,-0.17,5,0.38,0.38,9.055052129379668,5,38.0,0.5076098978717829,5,38.0
1105.0,-0.27,7,0.65,0.65,7.52723482492957,7,65.0,0.26138394684917127,7,65.0
1110.0,-0.42000000000000004,9,1.07,1.07,7.073394150102462,9,107.0,0.2755155250189121,9,107.0
1115.0,-0.48,10,1.55,1.55,6.117571913636593,10,155.0,0.1272317845556208,10,155.0
1120.0,-0.5999999999999999,14,2.15,2.15,5.818170563667943,14,215.0,0.2017254266550319,14,215.0
1125.0,-0.7200000000000002,15,2.87,2.87,3.7428151939995824,15,287.0,0.16443212392346315,15,287.0
1130.0,1.82,3,1.05,1.05,5.127547335251907,3,105.0,0.26377868327215953,3,105.0
1135.0,0.14,6,0.91,0.91,6.832812437716061,6,91.0,0.28652895916999294,6,91.0
1140.0,0.07000000000000006,8,0.84,0.84,7.006194339418784,8,84.0,0.21115225808037563,8,84.0
1145.0,-0.2600000000000001,12,1.1,1.1,6.242576793692577,12,110.0,0.13894145627036195,12,110.0
1150.0,-0.5999999999999999,12,1.7,1.7,5.44531261914246,12,170.0,0.18856374413650728,12,170.0
1155.0,-0.6199999999999999,13,2.32,2.32,5.358356108434738,13,232.0,0.24164160029026513,13,232.0
1160.0,-0.7200000000000002,16,3.04,3.04,4.656606529984971,16,304.0,0.2201061154561709,16,304.0
1165.0,-0.7999999999999998,16,3.84,3.84,3.239757367119679,16,384.0,0.16534021016051037,16,384.0
1170.0,-0.8399999999999999,18,4.68,4.68,2.1318967955955315,18,468.0,0.045627734046117474,18,468.0
1175.0,3.3199999999999994,1,1.36,1.36,6.111223524640301,1,136.0,0.35676962271862006,1,136.0
1180.0,0.5700000000000001,3,0.79,0.79,8.864737928164411,3,79.0,0.4734762287537567,3,79.0
1185.0,0.24,3,0.55,0.55,9.388880657723204,3,55.0,0.4741299855306007,3,55.0
1190.0,0.17000000000000004,4,0.38,0.38,9.592456522721257,4,38.0,0.32976156996139344,4,38.0
1195.0,-0.19999999999999996,4,0.58,0.58,9.455766885984772,4,58.0,0.4796989592761666,4,58.0
1200.0,-0.20000000000000007,4,0.78,0.78,8.254191787602092,4,78.0,0.2167354286976552,4,78.0
1205.0,-0.27,6,1.05,1.05,7.9110384153079565,6,105.0,0.303127070461544,6,105.0
1210.0,-0.34999999999999987,8,1.4,1.4,7.785451911767699,8,140.0,0.3249284162689433,8,140.0
1215.0,-0.44000000000000017,10,1.84,1.84,7.077720962868318,10,184.0,0.33498113516777767,10,184.0
1220.0,1.58,4,0.26,0.26,8.732753769622331,4,26.0,0.39104081923831835,4,26.0
1225.0,-0.22999999999999998,7,0.49,0.49,7.715879178822527,7,49.0,0.3273431376515355,7,49.0
1230.0,-0.42000000000000004,9,0.91,0.91,7.151520650753218,9,91.0,0.2967288513733055,9,91.0
1235.0,-0.57,13,1.48,1.48,7.205399545578996,13,148.0,0.21619074431946858,13,148.0
1240.0,-0.7000000000000002,15,2.18,2.18,5.201539304885489,15,218.0,0.17039649269832713,15,218.0
1245.0,-0.8399999999999999,18,3.02,3.02,5.052289374084726,18,302.0,0.20700034774638462,18,302.0
1250.0,-1.0399999999999996,24,4.06,4.06,4.747104486739764,24,406.0,0.2145748967936575,24,406.0
1255.0,-1.2300000000000004,26,5.29,5.29,3.8666174768334955,26,529.0,0.16099942438910375,26,529.0
1260.0,-1.54,34,6.83,6.83,3.5202531441448195,34,683.0,0.1322937201755508,34,683.0
1265.0,3.11,14,3.72,3.72,4.307620704496367,14,372.0,0.19382366426318232,14,372.0
1270.0,0.9100000000000001,14,2.81,2.81,5.830708604858859,14,281.0,0.1874527784375239,14,281.0
1275.0,0.20000000000000018,16,2.61,2.61,6.17519205031031,16,261.0,0.18861176076778982,16,261.0
1280.0,-0.18999999999999995,17,2.8,2.8,7.132479325520388,17,280.0,0.24371391577168952,17,280.0
1285.0,-0.6900000000000004,21,3.49,3.49,5.706746952048506,21,349.0,0.15470193462640022,21,349.0
1290.0,-1.0199999999999996,24,4.51,4.51,5.000717399367554,24,451.0,0.15962230530108823,24,451.0
1295.0,-1.2400000000000002,27,5.75,5.75,3.8694245341060496,27,575.0,0.0412812947985236,27,575.0
1300.0,-0.7800000000000002,26,6.53,6.53,4.6083462880005515,26,653.0,0.04608848399800343,26,653.0
1305.0,-1.21,27,7.74,7.74,4.699380176716345,27,774.0,0.12348842995150965,27,774.0
1310.0,3.91,6,3.83,3.83,5.563562986976088,6,383.0,0.2744543047276671,6,383.0
1315.0,2.08,4,1.75,1.75,7.0494384224723925,4,175.0,0.3569914746623714,4,175.0
1320.0,0.69,5,1.06,1.06,7.940126506467531,5,106.0,0.3925982155952822,5,106.0
1325.0,0.39,7,0.67,0.67,7.919190121403855,7,67.0,0.31480861811126887,7,67.0
1330.0,-0.17999999999999994,9,0.85,0.85,6.720337852061737,9,85.0,0.18769816421789137,9,85.0
1335.0,-0.37,10,1.22,1.22,7.334649637023553,10,122.0,0.2860084982895748,10,122.0
1340.0,-0.51,11,1.73,1.73,7.935477867737928,11,173.0,0.31194161052300357,11,173.0
