Wall time,Step,Value
1695008955.7178056,36864,1.5625636906341916e-13
1695009096.673218,49152,1.5625636906341916e-13
1695009191.1771083,61440,1.5625636906341916e-13
1695009269.4911633,73728,-5.838826058930657e-13
1695009413.5407853,86016,-5.838826058930657e-13
1695009495.7272642,98304,-5.838826058930657e-13
1695009587.2031226,110592,-2.130234600912842e-13
1695009709.5372114,122880,-2.130234600912842e-13
1695009783.3854449,135168,-2.4723726213017605e-13
1695009901.1305366,147456,-2.4723726213017605e-13
1695010006.5975695,159744,-2.4723726213017605e-13
1695010087.630178,172032,-2.1785705021665908e-13
1695010207.9368408,184320,-2.1785705021665908e-13
1695010284.964001,196608,-2.1785705021665908e-13
1695010369.9331918,208896,-1.3749193298641382e-13
1695010486.3722012,221184,-1.3749193298641382e-13
1695010566.8727956,233472,-1.3749193298641382e-13
1695010660.6205223,245760,-6.772151063668894e-14
1695010766.770164,258048,-6.772151063668894e-14
1695010846.9089048,270336,-4.382855772647014e-14
1695010956.4935365,282624,-4.382855772647014e-14
1695011047.998129,294912,-4.382855772647014e-14
1695011129.9025943,307200,-5.1805991950742286e-14
1695011251.698996,319488,-5.1805991950742286e-14
1695011335.9840627,331776,-5.1805991950742286e-14
1695011419.4140046,344064,-2.4448147431760207e-14
1695011541.3257701,356352,-2.4448147431760207e-14
1695011611.0857763,368640,-2.4448147431760207e-14
1695011708.9045928,380928,-3.086858771524613e-14
1695011812.4521186,393216,-3.086858771524613e-14
1695011891.796493,405504,-4.040380700907724e-14
1695012004.4189148,417792,-4.040380700907724e-14
1695012090.6330986,430080,-4.040380700907724e-14
1695012172.5215979,442368,-1.9914654303333952e-14
1695012288.1116774,454656,-1.9914654303333952e-14
1695012364.2112417,466944,-1.9914654303333952e-14
1695012451.3153024,479232,-1.7691249779757117e-15
1695012549.5168018,491520,-1.7691249779757117e-15
1695012622.8740544,503808,-9.44395742299509e-15
1695012741.1306417,516096,-9.44395742299509e-15
1695012830.0717056,528384,-9.44395742299509e-15
1695012900.338891,540672,-3.804779248958593e-15
1695013015.8228536,552960,-3.804779248958593e-15
1695013091.2313275,565248,-3.804779248958593e-15
1695013170.0625029,577536,8.441857307053997e-15
1695013286.5699513,589824,8.441857307053997e-15
1695013367.2217245,602112,8.441857307053997e-15
1695013455.0010614,614400,1.808095502747048e-14
1695013554.2254522,626688,1.808095502747048e-14
1695013623.0823488,638976,1.644173959849428e-14
1695013724.5167012,651264,1.644173959849428e-14
1695013813.0390875,663552,1.644173959849428e-14
1695013890.2990208,675840,2.1335216647305928e-14
1695014002.9991157,688128,2.1335216647305928e-14
1695014076.075743,700416,2.1335216647305928e-14
1695014156.3947914,712704,8.067383194039924e-15
