step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,49228579_stopped,49228579_accumulated_waiting_time,49228579_average_speed,cluster_2511020102_2511020103_290051922_298135886_stopped,cluster_2511020102_2511020103_290051922_298135886_accumulated_waiting_time,cluster_2511020102_2511020103_290051922_298135886_average_speed,cluster_2511020106_49297289_stopped,cluster_2511020106_49297289_accumulated_waiting_time,cluster_2511020106_49297289_average_speed,cluster_290051904_49145925_stopped,cluster_290051904_49145925_accumulated_waiting_time,cluster_290051904_49145925_average_speed,cluster_290051912_298136030_648538909_stopped,cluster_290051912_298136030_648538909_accumulated_waiting_time,cluster_290051912_298136030_648538909_average_speed,cluster_298135838_49135231_stopped,cluster_298135838_49135231_accumulated_waiting_time,cluster_298135838_49135231_average_speed,cluster_648538736_648538737_stopped,cluster_648538736_648538737_accumulated_waiting_time,cluster_648538736_648538737_average_speed,cluster_648538756_648538758_stopped,cluster_648538756_648538758_accumulated_waiting_time,cluster_648538756_648538758_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,15.622808371676106,0,0.0,0.5842826289856509,0,0.0,0.4674690567800033,0,0.0,1.0,0,0.0,0.35037900278839673,0,0.0,1.0,0,0.0,0.4695277858187763,0,0.0,0.8437966422918,0,0.0,1.0,0,0.0
10.0,0.0,0,0.0,0.0,14.801812232510992,0,0.0,0.42054320184513616,0,0.0,0.15291374568211696,0,0.0,1.0,0,0.0,0.10504055882885316,0,0.0,1.0,0,0.0,0.2643414347997563,0,0.0,0.590270437389662,0,0.0,1.0,0,0.0
15.0,-0.0025,0,0.02,0.0025,15.143928206469685,0,1.0,0.16685583142004135,0,0.0,0.8352673321318129,0,0.0,0.6496023620877641,0,1.0,0.029531656281761298,0,0.0,1.0,0,0.0,1.0,0,0.0,0.261965664797069,0,0.0,1.0,0,2.0
20.0,-0.015,3,0.14,0.0175,15.461019078742845,1,6.0,0.18880802859497559,0,0.0,0.4795110822304382,0,0.0,0.31238680320713685,1,5.0,0.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.21257819320328641,0,0.0,1.0,3,14.0
25.0,-0.026250000000000002,5,0.35,0.04375,15.668143734690178,2,13.0,0.20187818242280592,0,0.0,0.14243045899045992,0,0.0,0.4168518795934299,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,2,12.0,0.2656211003520493,0,0.0,1.0,5,35.0
30.0,-0.02,5,0.51,0.06375,15.364186220919455,2,22.0,0.06397692885347113,0,0.0,0.5947070804711072,0,0.0,0.5294792683011714,1,15.0,0.0,0,0.0,1.0,0,0.0,0.19777080288305254,2,14.0,0.20944320360119473,0,0.0,1.0,5,51.0
35.0,-0.03625,7,0.8,0.1,15.277466760816873,3,36.0,0.20345731193235306,0,0.0,0.5019419153412765,0,0.0,0.3223857951314678,1,20.0,0.0,0,0.0,1.0,1,1.0,0.4999999995280364,2,23.0,0.3380843028917333,0,0.0,1.0,7,80.0
40.0,-0.04875,9,1.19,0.14875,15.459505928757606,4,53.0,0.05496386357236055,0,0.0,0.11593500749513591,0,0.0,0.18431292464635893,1,25.0,0.0,0,0.0,0.9964398373490564,1,4.0,0.39542164556557097,3,37.0,0.25914799044230946,0,0.0,1.0,9,119.0
45.0,-0.0625,12,1.6900000000000002,0.21125,14.971276630540535,6,75.0,0.03239613252351947,0,1.0,0.277689324138152,0,0.0,0.5235069297473105,1,30.0,0.28928460454348476,0,0.0,0.5822046418953453,1,9.0,0.44459479824878584,4,54.0,0.14621710020302994,0,0.0,1.0,12,169.0
50.0,-0.0775,12,2.3100000000000005,0.28875,14.456428390518735,5,102.0,0.10288614721545301,1,5.0,0.09861066673291113,0,0.0,0.42983287758902794,1,36.0,0.006702801027975402,0,0.0,0.6247691678612122,1,14.0,0.5286873276070423,4,74.0,0.18613227154320347,0,0.0,1.0,12,231.0
