step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,49228579_stopped,49228579_accumulated_waiting_time,49228579_average_speed,cluster_2511020102_2511020103_290051922_298135886_stopped,cluster_2511020102_2511020103_290051922_298135886_accumulated_waiting_time,cluster_2511020102_2511020103_290051922_298135886_average_speed,cluster_2511020106_49297289_stopped,cluster_2511020106_49297289_accumulated_waiting_time,cluster_2511020106_49297289_average_speed,cluster_290051904_49145925_stopped,cluster_290051904_49145925_accumulated_waiting_time,cluster_290051904_49145925_average_speed,cluster_290051912_298136030_648538909_stopped,cluster_290051912_298136030_648538909_accumulated_waiting_time,cluster_290051912_298136030_648538909_average_speed,cluster_298135838_49135231_stopped,cluster_298135838_49135231_accumulated_waiting_time,cluster_298135838_49135231_average_speed,cluster_648538736_648538737_stopped,cluster_648538736_648538737_accumulated_waiting_time,cluster_648538736_648538737_average_speed,cluster_648538756_648538758_stopped,cluster_648538756_648538758_accumulated_waiting_time,cluster_648538756_648538758_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
80.0,0.09,17,2.8200000000000003,0.35250000000000004,12.20460650624684,2,44.0,0.0,3,61.0,0.18079017995277613,0,0.0,0.9990706608134691,6,37.0,0.08375530079369521,0,0.0,0.4977346050035613,1,3.0,0.0,5,137.0,0.05010872070214097,0,0.0,1.0,17,282.0
85.0,0.012500000000000011,15,2.72,0.33999999999999997,12.220482336248295,2,51.0,0.3301692114128197,3,76.0,0.10968661324292986,0,0.0,1.0,8,70.0,0.02727428206803875,0,0.0,0.5317665373239057,1,11.0,0.4645009194686326,1,64.0,0.15658084432002256,0,0.0,0.9468528077371196,15,272.0
90.0,0.036250000000000004,15,2.4299999999999997,0.30374999999999996,12.119743019515111,2,59.0,0.24454354659842079,1,33.0,0.12525780940060494,0,2.0,0.665385533405938,10,115.0,0.012526103220112368,0,3.0,0.4734026555225755,1,15.0,0.10902270564360884,1,16.0,0.3008135279026639,0,0.0,0.8470032268425322,15,243.0
95.0,-0.0975,17,3.21,0.40124999999999994,12.265595945822747,2,69.0,0.2370831480194427,2,43.0,0.12598593892281607,0,2.0,0.42192843417879883,11,171.0,0.0021904576147958005,0,0.0,0.23309765902296514,1,20.0,0.022486297225161805,1,12.0,0.46788735754148236,0,4.0,0.9817071998826066,17,321.0
100.0,0.0037499999999999756,11,3.18,0.3975,12.07111001625336,2,79.0,0.1612144744436675,2,53.0,0.24910181788695335,0,0.0,0.43458962790872535,3,132.0,0.03388034391418491,0,0.0,0.1353990338873079,3,29.0,0.05195389874441212,1,20.0,0.4328391716137466,0,5.0,0.9960119370198095,11,318.0
105.0,0.02125000000000001,10,3.01,0.37625,11.41698934964974,3,91.0,0.22562470475852273,2,64.0,0.08460346881643362,0,0.0,0.1876002829239076,1,79.0,0.10092955173262322,0,0.0,1.0,3,41.0,0.042853010866237294,1,25.0,0.35749359743082576,0,1.0,0.9999611548398107,10,301.0
110.0,-0.03,13,3.25,0.40625,11.295548331399916,3,106.0,0.07064710442929155,3,78.0,0.08382206200916241,1,9.0,0.34565473160844534,1,40.0,0.1473915934532082,0,0.0,0.2868816486645668,4,61.0,0.03279881381416621,1,31.0,0.20105133183505547,0,0.0,1.0,13,325.0
115.0,0.031250000000000014,17,2.9999999999999996,0.375,10.77400185141186,4,125.0,0.15397218222861347,2,22.0,0.13993339544422426,2,19.0,0.23717008867662634,1,43.0,0.11095564953660587,0,0.0,0.49372668108512346,4,47.0,0.016268887363312987,4,44.0,0.15718829023365286,0,0.0,0.9985457847744804,17,300.0
120.0,-0.11250000000000002,23,3.9,0.4875,10.176143219284164,5,150.0,0.036161124764068464,3,43.0,0.1516778964557205,5,41.0,0.21654693146724893,1,27.0,0.14046015839390583,0,0.0,0.14373562155607558,5,65.0,0.19591757542049967,4,64.0,0.1838679752509326,0,0.0,0.9997696657728903,23,390.0
125.0,0.011250000000000024,24,3.8099999999999996,0.47624999999999995,10.350870829175307,3,47.0,0.12112958167475782,5,60.0,0.13822501593065947,6,69.0,0.2445289988055871,1,31.0,0.19119369835053832,0,0.0,1.0,5,90.0,0.1888528808126583,4,84.0,0.2586660538691211,0,0.0,1.0,24,381.0
130.0,-0.14500000000000002,30,4.97,0.6212500000000001,9.734992219355474,3,46.0,0.13878496289577216,8,90.0,0.06001621463507092,8,102.0,0.09834423760083104,1,36.0,0.1949364178733003,0,0.0,0.8940375539139104,6,119.0,0.11912931008406909,4,104.0,0.20874547350500205,0,0.0,1.0,30,497.0
135.0,-0.23,39,6.81,0.8512500000000001,8.67026516820476,4,66.0,0.01894371943931173,12,144.0,0.039994697287881985,8,141.0,0.11271596034585406,1,44.0,0.19021862092956,0,1.0,0.9932970368174122,8,155.0,0.08565453924791722,6,130.0,0.11096190013911686,0,0.0,1.0,39,681.0
140.0,-0.2275,45,8.63,1.0787499999999999,7.928337138536977,5,91.0,0.08796503957877011,15,213.0,0.056367376094039384,8,183.0,0.049975673765545035,1,46.0,0.20656693542100588,0,0.0,1.0,11,182.0,0.06757957031233616,5,148.0,0.10959225857838874,0,0.0,1.0,45,863.0
145.0,-0.34625,62,11.4,1.4249999999999998,7.624198630051599,6,120.0,0.10509776375242202,22,303.0,0.005589034597159882,11,235.0,0.01953128281564156,1,52.0,0.3009548716770897,0,0.0,1.0,15,248.0,0.04094356497848454,7,182.0,0.15644559539943056,0,0.0,1.0,62,1140.0
150.0,-0.4487500000000001,78,14.989999999999998,1.87375,7.021428132887693,7,152.0,0.0388994209032242,24,417.0,0.0002390751715154799,14,302.0,0.031936614668585855,2,61.0,0.29475065529512295,0,0.0,1.0,24,349.0,0.02189332854944233,7,218.0,0.08334685053645986,0,0.0,1.0,78,1499.0
155.0,-0.31999999999999995,74,17.549999999999997,2.19375,6.759880705125541,7,187.0,0.08031045529773762,24,537.0,0.02280909270066777,5,227.0,0.13817512132499812,2,71.0,0.2787255849061341,0,0.0,0.41441642934716255,28,476.0,0.01195341841596404,8,257.0,0.1726520427175994,0,0.0,1.0,74,1755.0
160.0,-0.26375,82,19.66,2.4575,6.3500877111343685,9,226.0,0.007936986396360642,25,658.0,0.007683511697662002,6,146.0,0.08810514561677439,2,81.0,0.2433609453211482,0,0.0,0.11641331593411051,33,635.0,0.003365951068752098,7,220.0,0.11335790839144524,0,0.0,1.0,82,1966.0
165.0,-0.45625000000000004,88,23.31,2.9137500000000003,5.539429432828166,10,272.0,0.005788463063327834,25,783.0,0.016671398229417187,7,179.0,0.14419792226974806,1,71.0,0.19060255990062716,0,0.0,0.29316327621682914,40,827.0,0.0009213370034503564,5,199.0,0.11510779128047863,0,0.0,1.0,88,2331.0
170.0,-0.43375,92,26.78,3.3475,5.39765382182852,11,320.0,0.036617491272549825,25,908.0,0.01719885645569484,7,188.0,0.03328332430874437,0,0.0,0.2710975638423528,0,0.0,0.0688043630021088,42,1033.0,0.036383555200354384,7,229.0,0.14509789695301734,0,0.0,1.0,92,2678.0
175.0,0.10249999999999998,78,25.96,3.245,5.44669482233839,4,198.0,0.03151191680677553,25,1033.0,0.006892650386665223,6,210.0,0.06765882954633258,0,0.0,0.0555148286650355,0,0.0,1.0,36,890.0,0.017468657946757764,7,265.0,0.07651224231160553,0,0.0,1.0,78,2596.0
180.0,0.47750000000000004,50,22.14,2.7675,5.776315924199936,3,121.0,0.08272461654395019,14,786.0,0.043312163673541806,6,240.0,0.09098453607275711,1,6.0,0.022423860793967614,0,0.0,0.6949431829279806,18,780.0,0.021401807581207643,8,281.0,0.07718014150429077,0,0.0,1.0,50,2214.0
185.0,0.33374999999999994,33,19.47,2.43375,6.857145452970284,1,71.0,0.3267439964039033,4,559.0,0.07871737718911817,6,270.0,0.035033936838640124,5,24.0,0.05663648234208624,0,12.0,0.41818022542418715,9,690.0,0.07873009550411716,8,321.0,0.20243372539962284,0,0.0,1.0,33,1947.0
190.0,0.4187500000000001,27,16.12,2.015,7.80965299960048,1,26.0,0.32467742649193826,1,354.0,0.09239816794325,7,302.0,0.06679345001716623,7,57.0,0.006206544386035145,0,0.0,0.42042740063427536,3,514.0,0.08544602972067625,8,359.0,0.148508000573985,0,0.0,1.0,27,1612.0
195.0,0.21999999999999992,34,14.360000000000003,1.7950000000000002,8.545453986234001,2,31.0,0.32787722847748774,2,151.0,0.1895647821950399,7,337.0,0.02409320596638324,10,102.0,0.0002970980448394623,0,0.0,0.5069746477150503,3,412.0,0.15235031302664756,10,403.0,0.06998893602475502,0,0.0,1.0,34,1436.0
200.0,0.08250000000000003,34,13.700000000000001,1.7125,9.142205898070923,2,41.0,0.016687682144388354,3,110.0,0.17025698049806934,7,372.0,0.06925214208267286,9,149.0,0.011517640261944963,0,0.0,0.42519555286315086,3,332.0,0.24340656887275328,10,366.0,0.07616754731579321,0,0.0,1.0,34,1370.0
205.0,0.14875000000000005,32,12.510000000000002,1.5637499999999998,9.64914861751496,3,50.0,0.2404014272466799,3,76.0,0.15655621472156886,4,257.0,0.13961052548055797,10,215.0,0.057881979369622874,1,3.0,0.34141448944124897,3,325.0,0.20824065806916917,8,325.0,0.07383718443560358,0,0.0,1.0,32,1251.0
210.0,0.09999999999999994,23,11.71,1.46375,9.947613401342874,2,61.0,0.2070876495643631,4,94.0,0.10943522542437159,5,268.0,0.20556173192568253,0,150.0,0.09296721899575108,1,9.0,0.2831046586032676,3,297.0,0.22590410311631032,8,292.0,0.12243465580444796,0,0.0,1.0,23,1171.0
215.0,0.13375,28,10.64,1.33,10.03141286113548,2,68.0,0.17353107177055527,3,109.0,0.0326942233290074,5,293.0,0.2649068945237494,2,62.0,0.05571049703784666,4,25.0,0.24764990409319165,4,240.0,0.23358749927870368,8,267.0,0.14900646625231617,0,0.0,1.0,28,1064.0
220.0,-0.061249999999999985,33,11.129999999999999,1.3912499999999999,10.225811204246991,2,78.0,0.22602103381715313,3,75.0,0.13703213202588665,5,318.0,0.15386462945684382,4,63.0,0.0653928289035557,6,53.0,0.25877062842745985,4,217.0,0.27964006954991333,9,309.0,0.12667170466477745,0,0.0,0.7845187782377507,33,1113.0
225.0,-0.2025,42,12.75,1.59375,9.90835790026666,2,88.0,0.2175580266535496,4,94.0,0.19129431283675066,6,346.0,0.10004751867777252,7,77.0,0.05283725466848947,9,92.0,0.22968853733211178,4,233.0,0.24908465095879317,10,345.0,0.12829839221103823,0,0.0,0.43601133546341464,42,1275.0
230.0,0.12125000000000005,33,11.78,1.4725000000000001,9.68072632156238,3,102.0,0.12110713535553384,2,111.0,0.2388809805497395,8,381.0,0.1620624953418728,1,34.0,0.11411420651085286,8,122.0,0.23137076108942495,4,228.0,0.18918430143763995,7,200.0,0.078644996592613,0,0.0,0.10421521341749976,33,1178.0
235.0,0.00999999999999994,33,11.7,1.4625000000000001,9.910500003515406,3,117.0,0.15011300256849533,4,82.0,0.1647366989460481,10,423.0,0.04551162897556014,1,34.0,0.18429932267703147,7,159.0,0.21875363188188,4,252.0,0.2892729741649457,3,102.0,0.12678114244834315,1,1.0,0.0,33,1170.0
240.0,0.29625,29,9.33,1.16625,10.112403140393337,4,133.0,0.0505306588845703,4,102.0,0.11027967080620349,6,272.0,0.10434621948690839,1,35.0,0.17961304198976144,8,198.0,0.17076125533735864,1,116.0,0.2363347537981619,4,74.0,0.19991117356389018,1,3.0,0.0,29,933.0
245.0,0.15625000000000006,31,8.08,1.0099999999999998,10.195848086470786,1,19.0,0.20904729166465386,5,124.0,0.1124281484672922,7,169.0,0.08548350164948876,2,34.0,0.21917813633305974,8,242.0,0.09214640787085662,1,122.0,0.12791114469121379,6,90.0,0.19875622602979848,1,8.0,0.46685552753579873,31,808.0
250.0,-0.14624999999999994,45,9.249999999999998,1.15625,10.039028799597064,2,11.0,0.17614859406112385,7,150.0,0.1006281515774342,7,140.0,0.10840510355383727,3,47.0,0.27493787919680496,13,301.0,0.03297007777919229,6,139.0,0.07181737434571026,6,120.0,0.2734487054667,1,17.0,0.6560632574680585,45,925.0
255.0,-0.29875000000000007,57,11.64,1.455,9.651280512227787,3,24.0,0.07924626852036601,9,190.0,0.07217486434046963,9,160.0,0.07242098198759216,3,62.0,0.2374083196437573,15,372.0,0.023004383681870706,11,184.0,0.06503322399167222,6,150.0,0.1316844454980836,1,22.0,0.6246139351831673,57,1164.0
260.0,-0.06750000000000002,64,12.18,1.5225,9.172281207601852,4,44.0,0.11798384813415051,6,119.0,0.08828397601238305,10,200.0,0.02033218956536611,3,77.0,0.24087999639371138,11,295.0,0.025482980906393227,21,272.0,0.029439721026064906,8,184.0,0.1121265011688129,1,27.0,0.4371320766057245,64,1218.0
265.0,-0.3812499999999999,74,15.23,1.9037499999999998,8.888894234187191,5,67.0,0.08210462093852157,9,164.0,0.07527328809480317,11,255.0,0.07988473034649715,3,92.0,0.26159603037648244,5,279.0,0.032116304448325854,30,405.0,0.009966476480666306,8,225.0,0.16054595692826462,3,36.0,0.14801247410138602,74,1523.0
270.0,-0.15000000000000008,77,16.43,2.05375,8.50940133340049,6,96.0,0.010301340500867104,10,170.0,0.08293924209144339,12,306.0,0.016873592040072327,3,107.0,0.09779749715151136,2,220.0,0.08477915254510422,31,425.0,0.016840935943726553,9,269.0,0.14285835937158076,4,50.0,0.022505573853240656,77,1643.0
275.0,-0.15375000000000005,76,17.66,2.2075000000000005,8.117117163527121,7,131.0,0.07328536653432925,12,226.0,0.08131750376398868,12,366.0,0.07151619271532007,2,33.0,0.07700203524170582,0,125.0,0.11557850967823663,34,569.0,0.015184299419746947,9,314.0,0.14552042499446013,0,2.0,0.18449337580527803,76,1766.0
280.0,-0.4362499999999999,82,21.15,2.64375,7.485870574005618,8,170.0,0.011722036121159633,15,292.0,0.06743529351242558,12,430.0,0.10662587921683835,1,38.0,0.08963914289574153,0,90.0,0.27183225253001503,37,746.0,0.0011320334337184639,9,349.0,0.1385787194651506,0,0.0,0.33657801177376456,82,2115.0
285.0,-0.5499999999999999,90,25.550000000000004,3.1937499999999996,6.673324622996199,10,214.0,0.023455704571531604,17,371.0,0.07768683152928221,13,581.0,0.08431774217071902,3,14.0,0.05097527614032021,0,41.0,0.2834513724660484,38,935.0,0.02115803494884417,9,399.0,0.08814843183899948,0,0.0,0.7971424390373948,90,2555.0
290.0,-0.4099999999999999,93,28.83,3.60375,5.897066672813458,10,261.0,0.0347435883445568,18,457.0,0.06193430359267637,15,614.0,0.03432963073326034,3,29.0,0.030639595114263517,0,41.0,0.1343273130852465,39,1129.0,0.00014936203321254353,8,352.0,0.10806196902565261,0,0.0,0.987637438440575,93,2883.0
295.0,-0.43125,100,32.28,4.035,5.21389858396148,5,186.0,0.024844478548780115,20,482.0,0.03704861231701377,18,731.0,0.03691731765222733,7,63.0,0.006438561284529953,1,41.0,0.17158120597993554,40,1329.0,1.6386313589964294e-05,9,396.0,0.06816231522478436,0,0.0,1.0,100,3228.0
