step_time,total_stopped,total_wait_time,avg_wait_time,avg_speed,49228579_stopped,49228579_accumulated_waiting_time,49228579_average_speed,cluster_2511020102_2511020103_290051922_298135886_stopped,cluster_2511020102_2511020103_290051922_298135886_accumulated_waiting_time,cluster_2511020102_2511020103_290051922_298135886_average_speed,cluster_2511020106_49297289_stopped,cluster_2511020106_49297289_accumulated_waiting_time,cluster_2511020106_49297289_average_speed,cluster_290051904_49145925_stopped,cluster_290051904_49145925_accumulated_waiting_time,cluster_290051904_49145925_average_speed,cluster_290051912_298136030_648538909_stopped,cluster_290051912_298136030_648538909_accumulated_waiting_time,cluster_290051912_298136030_648538909_average_speed,cluster_298135838_49135231_stopped,cluster_298135838_49135231_accumulated_waiting_time,cluster_298135838_49135231_average_speed,cluster_648538736_648538737_stopped,cluster_648538736_648538737_accumulated_waiting_time,cluster_648538736_648538737_average_speed,cluster_648538756_648538758_stopped,cluster_648538756_648538758_accumulated_waiting_time,cluster_648538756_648538758_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
85.0,15,2.92,0.365,11.682530202783107,2,51.0,0.33005670937854475,3,85.0,0.1360354305166561,0,0.0,1.0,9,81.0,0.028497877723881262,0,3.0,0.37825121701530495,1,6.0,0.39246688424558357,0,66.0,0.13087273209413094,0,0.0,0.960514204232593,15,292.0
90.0,17,2.5700000000000003,0.32125000000000004,11.554420431088138,2,59.0,0.24315736316648923,2,36.0,0.11464751653042128,0,2.0,0.6069583087485024,10,127.0,0.00809140775868897,0,0.0,0.11608798513261938,2,16.0,0.08092759011678241,1,17.0,0.31868393658009747,0,0.0,0.8946066144189807,17,257.0
95.0,18,3.39,0.42375,11.608124419077996,2,69.0,0.13573704197682057,2,43.0,0.027990509683182663,0,2.0,0.3814772169009042,11,180.0,0.0014508557128663025,0,0.0,0.26018794828105135,2,26.0,0.01786632092813948,1,12.0,0.4113412029194379,0,7.0,0.9775463293342398,18,339.0
100.0,12,3.37,0.42125,11.71015720138698,2,80.0,0.13656994720018495,2,53.0,0.1901684998122818,0,0.0,0.39388147613568086,3,142.0,0.033988981309946785,0,0.0,0.19083966010326034,3,37.0,0.05947085035698764,2,18.0,0.3510793908518908,0,7.0,0.9856826242719063,12,337.0
105.0,13,3.3,0.4125,11.378984053329798,4,96.0,0.16276402824753333,3,67.0,0.07966674387896122,0,1.0,0.32729601447207635,1,90.0,0.09381792025310057,0,0.0,0.19611585864528114,3,50.0,0.05922626051130325,2,26.0,0.33274238951630725,0,0.0,1.0,13,330.0
110.0,17,3.4999999999999996,0.4375,11.393181752723956,4,116.0,0.03896674015932433,4,83.0,0.08618921357979989,1,7.0,0.27841044879905646,1,40.0,0.14110045979939756,0,0.0,0.14036525535485508,5,68.0,0.04035499436758714,2,36.0,0.1795002532628353,0,0.0,1.0,17,350.0
115.0,18,3.71,0.46375,10.69898831668266,5,138.0,0.1373329597518542,2,54.0,0.23353035313901302,3,19.0,0.32624017469005456,1,54.0,0.09354513002550224,0,0.0,0.8441748304001518,3,55.0,0.020741430938515378,4,51.0,0.13847308757553728,0,0.0,1.0,18,371.0
120.0,24,4.54,0.5675,10.257983691067214,6,164.0,0.0017775956368140072,4,74.0,0.15408574308600903,4,36.0,0.2457740567498094,1,39.0,0.12128897195263251,0,0.0,1.0,5,70.0,0.009189092391555421,4,71.0,0.12467491303164942,0,0.0,1.0,24,454.0
125.0,25,4.1,0.5125,9.662175145661964,4,66.0,0.14775044037365453,5,60.0,0.1190220523616085,6,63.0,0.154663542708422,1,32.0,0.15087295341727253,0,0.0,0.9472814150922988,5,98.0,0.18625631986910196,4,91.0,0.25788755275585395,0,0.0,0.8388375758102904,25,410.0
130.0,26,4.96,0.6200000000000001,8.892871057838915,4,68.0,0.14404630551358025,4,77.0,0.10233463401631734,7,75.0,0.11580553708685534,1,36.0,0.2149841694713365,0,1.0,0.867835706248727,6,128.0,0.12630930025745413,4,111.0,0.18162907172921147,0,0.0,0.5158914079513931,26,496.0
135.0,38,6.55,0.81875,8.06950087349479,5,89.0,0.006572404367673014,8,109.0,0.019877996071065124,8,113.0,0.018234241335870864,1,44.0,0.25080443016703696,0,0.0,1.0,9,164.0,0.05790116323470172,7,136.0,0.09611264906525531,0,0.0,0.1309846137821103,38,655.0
140.0,52,8.67,1.08375,7.308339378124011,6,119.0,0.044818989540422516,17,179.0,0.05211411325967349,11,162.0,0.05444330673745206,1,50.0,0.22070241416618222,0,0.0,1.0,11,196.0,0.08627913019694941,6,161.0,0.09951711013288198,0,0.0,0.009842029539096677,52,867.0
145.0,65,11.72,1.465,6.968147828613052,6,149.0,0.06786749647174493,20,272.0,0.0067251685269640255,12,225.0,0.0885485607482643,1,52.0,0.1762945549742296,0,0.0,1.0,17,273.0,0.03795204505807968,8,198.0,0.14930215169184977,1,3.0,0.0,65,1172.0
150.0,79,15.410000000000002,1.92625,6.722451195615669,8,185.0,0.0,23,379.0,0.00020185441296674927,14,292.0,0.006974302611009832,2,65.0,0.21017928513686934,0,0.0,1.0,22,372.0,0.030171529637536717,9,240.0,0.07030146249784885,1,8.0,0.0,79,1541.0
155.0,77,17.75,2.21875,6.732640241178747,8,225.0,0.06616214228613464,23,494.0,0.02025446597739125,5,183.0,0.046544718118597346,2,71.0,0.17213473330714646,0,0.0,1.0,29,505.0,0.019341680738410204,9,284.0,0.15382267094482718,1,13.0,0.0,77,1775.0
160.0,80,20.189999999999998,2.5237499999999997,6.668964107588083,9,268.0,0.009514689480312274,23,609.0,0.006687768575458475,6,136.0,0.1201086385298682,2,81.0,0.3335492814383886,0,0.0,0.45738936471714986,31,655.0,0.006265479131860041,8,252.0,0.09422435606080724,1,18.0,0.0,80,2019.0
165.0,86,23.610000000000003,2.95125,6.103637860210798,10,314.0,0.0063110658126352605,23,724.0,0.020129615049089458,6,141.0,0.09722953006371955,2,91.0,0.09025422892295829,0,0.0,0.12570044543965458,38,832.0,0.0015241907569887006,6,236.0,0.10910434231022582,1,23.0,0.0,86,2361.0
170.0,91,27.060000000000002,3.3825000000000003,5.761200532916407,11,366.0,0.009718804341935497,23,839.0,0.020526276732373908,6,171.0,0.03537480119340915,0,0.0,0.1710237377646926,0,0.0,0.24487476305722614,42,1031.0,0.028288374123647722,8,271.0,0.13674766657537257,1,28.0,0.0,91,2706.0
175.0,83,26.599999999999998,3.325,5.524081658749061,7,280.0,0.01963393923906903,23,954.0,0.008314138207492676,6,201.0,0.16779180141647332,2,2.0,0.04901958699222716,0,0.0,0.15686753787884686,36,878.0,0.0136312948799799,8,312.0,0.07115727226995996,1,33.0,0.0,83,2660.0
180.0,52,22.45,2.8062500000000004,5.857717723739768,4,161.0,0.10370960696789551,12,719.0,0.0389739748589081,6,231.0,0.0905694282352758,2,8.0,0.022422051154094944,0,0.0,0.24021073015942473,18,755.0,0.021900947122774038,9,333.0,0.061019022290098236,1,38.0,0.0,52,2245.0
185.0,36,18.54,2.3175,6.900512055068243,3,52.0,0.17920993559397716,3,497.0,0.07367152157965637,6,261.0,0.03306706333907076,6,30.0,0.024618839906873656,0,12.0,0.5247495448241378,9,625.0,0.07279588288470114,9,377.0,0.1795110361592349,0,0.0,1.0,36,1854.0
190.0,31,16.04,2.005,7.9444319030397885,2,42.0,0.23456259814138,1,333.0,0.09674901995105718,7,293.0,0.07314202268413492,10,71.0,0.0107308350362757,0,0.0,0.5092884047394753,2,443.0,0.11612502515354092,9,422.0,0.14374906529640294,0,0.0,1.0,31,1604.0
195.0,33,14.79,1.84875,8.597810649256191,2,34.0,0.20710206726177977,2,168.0,0.15977011774727493,7,328.0,0.023045949522050982,10,121.0,0.0018234507722259766,0,0.0,0.512688167973027,2,360.0,0.16228822654100486,10,468.0,0.0989121681413117,0,0.0,1.0,33,1479.0
200.0,35,14.670000000000002,1.83375,9.031619612493992,2,44.0,0.2905194120802001,3,156.0,0.19911766981425186,7,363.0,0.07271362896140067,12,178.0,0.00022618163287971068,0,0.0,0.3979697107615268,2,305.0,0.21796180667117301,9,421.0,0.06414320756948218,0,0.0,1.0,35,1467.0
205.0,31,13.06,1.6324999999999998,9.403185836730572,2,51.0,0.1782642796342266,3,98.0,0.15525376105767516,4,261.0,0.13856700256009002,12,250.0,0.05936943917850674,1,3.0,0.363738140616061,2,267.0,0.2256354929208541,7,376.0,0.10904731007216344,0,0.0,1.0,31,1306.0
210.0,21,11.85,1.48125,9.773399832164063,3,63.0,0.14921540671456496,3,96.0,0.08826761389917459,4,270.0,0.20026123803318235,0,190.0,0.07344226136706855,1,10.0,0.27995716810316257,3,215.0,0.24876883081095044,7,341.0,0.12520621770385437,0,0.0,1.0,21,1185.0
215.0,29,10.59,1.32375,9.962843405283254,2,69.0,0.09828486947744623,3,61.0,0.015755954517793876,5,295.0,0.1023052249329797,4,100.0,0.064230547166243,4,26.0,0.2728942036790964,3,182.0,0.24239702732137067,8,326.0,0.1616898109422322,0,0.0,1.0,29,1059.0
220.0,33,11.040000000000001,1.38,10.200867431981395,2,77.0,0.17620212863056056,3,76.0,0.1423879460384071,5,320.0,0.23130867228854354,5,89.0,0.06896948794859692,6,53.0,0.29614233113670874,3,175.0,0.2803148373302577,9,314.0,0.14443657881067243,0,0.0,0.926639516941517,33,1104.0
225.0,40,12.46,1.5575,9.853680586200992,2,87.0,0.2755968291596565,4,96.0,0.1952954054311927,6,347.0,0.17559897526847226,7,109.0,0.047317495864429106,8,90.0,0.2518138875168728,3,170.0,0.25138855272720917,10,347.0,0.13763959625252986,0,0.0,0.8090236002276833,40,1246.0
230.0,33,11.79,1.47375,9.806476151526041,3,101.0,0.10406079720291177,2,112.0,0.12768604665479993,8,382.0,0.16383567662531698,1,78.0,0.12527682889740135,9,131.0,0.21119652953177198,3,175.0,0.30250693202519174,7,200.0,0.10112591566420825,0,0.0,0.44739173137274973,33,1179.0
235.0,29,11.37,1.4212500000000001,10.06364959212896,3,116.0,0.14525274687536366,4,85.0,0.16405547803136747,9,422.0,0.03453991527599714,2,86.0,0.21633942607713127,6,150.0,0.1875089756592895,3,183.0,0.3410513538530081,2,95.0,0.16314134158112903,0,0.0,0.0999836998955741,29,1137.0
240.0,28,9.240000000000002,1.155,10.183744082462958,3,132.0,0.04941591339927521,4,104.0,0.1545518556772851,5,260.0,0.10265338607032023,2,64.0,0.20339206004338364,8,194.0,0.17114474310690803,2,106.0,0.18846678611829137,3,63.0,0.19279750296249445,1,1.0,0.0,28,924.0
245.0,32,8.049999999999999,1.00625,10.290761083595804,1,20.0,0.2472071033899463,4,124.0,0.16173847331122193,7,162.0,0.1258576062584005,3,68.0,0.20628779491478563,8,236.0,0.07804900154595631,3,118.0,0.09859613616570886,5,73.0,0.19551199983473772,1,4.0,0.46067172009870094,32,805.0
