step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,1,0.0,0.0,11.025631384341146,0.9968839143623078,1.0,0.08,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.30930257720264,12.702229577202642,0.0342698069047315,9.29084557720264
20.0,0.0,1,0.0,0.0,6.558275451817452,0.9861843928024624,1.0,0.08,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244417858495538,6.984969253736869,0.0003398284194256,6.123845842890875
25.0,0.0,3,0.0,0.0,8.464552383281621,0.9899025071717186,1.0,0.32,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011099157075187,0.0,0.0,6.056990532038421
30.0,0.0,4,0.0,0.0,8.260595125044539,0.9887543620585006,1.0,0.48,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36542067422376
35.0,0.0,5,0.0,0.0,8.254724100540987,0.9865716673544084,1.0,0.4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.766561945102485
40.0,0.0,7,0.0,0.0,7.979230511673937,0.990342889415476,1.0,0.56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.874885088764133,11.80525078321807,12.015394233167171,11.623996856747349
45.0,0.0,10,0.0,0.0,6.581078329995729,0.980203590666882,1.0,0.64,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.53216093279101,12.999604909556584,13.517819974321029,6.494481674623095
50.0,0.0,13,0.0,0.0,5.730258890639042,0.9773731480558934,1.0,0.64,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.992790778061895,1.4343315767773506,12.681379450467505,6.694362139332704
55.0,0.0,21,0.0,0.0,3.0258934335157748,0.9675087296511192,1.0,0.72,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.121013257624174,0.0,0.0028362540297857,0.60656191633889
60.0,0.0,20,0.0,0.0,3.501735993715239,0.9668310618411998,1.0,0.96,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006675747705219,0.0,0.000101517572095,0.0010789820784192
65.0,0.0,18,0.0,0.0,3.1419916129034617,0.967805359565401,1.0,0.96,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,20,0.0,0.0,4.062096269112394,0.9714101409340176,1.0,0.88,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,17,0.0,0.0,5.099421588083073,0.9781919162212852,1.0,0.8,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4548662742599845,0.0,6.038607908994891,3.741333666839637
80.0,0.0,19,0.0,0.0,6.584774099568297,0.9840914632566704,1.0,0.88,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.461932120099795,0.0,12.063009806906155,8.757224436233518
85.0,0.0,18,0.0,0.0,5.9325089526645325,0.9810451198610946,1.0,0.8,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.589013860689142,0.0,0.0,8.738136836148332
