step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,2,0.0,0.0,9.970007813656466,0.9951315362691304,1.0,0.25,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51135516167403,0.0,0.0467288214570289,13.426615456235725
20.0,0.0,2,0.0,0.0,5.881941847017731,0.9895590045580483,1.0,0.25,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2300492809844,0.0,0.0,7.071757290512487
25.0,0.0,3,0.0,0.0,8.068754797851723,0.9938758183996852,1.0,0.5,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002882150132015,0.0,0.0,11.268122903044038
30.0,0.0,6,0.0,0.0,6.120419604668538,0.9892964078917408,1.0,0.875,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.955561872208088,6.678659763526129
35.0,0.0,3,0.0,0.0,8.39872736104836,0.9945610929879246,1.0,0.75,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.971274535797599,7.446919489152
40.0,0.0,3,0.14,0.00875,10.069843465361023,0.996697411204014,1.0,0.6907894736842105,0,0,1,1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,11.895603518679664,13.096350445683864,5.668748210882768,8.944557525622969
45.0,0.0,4,0.06,0.00375,8.47833368763305,0.9968043558253368,1.0,0.2916666666666666,0,1,1,1,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,11.54220393251434,7.301363855363819,7.1143415357976,1.2140089694460976
50.0,-0.0025,7,0.29,0.018125,8.079159118188514,0.9970797060584528,1.0,0.375,0,1,1,2,0.0,0.06,0.0,0.13,0.0,0.0,0.0,0.0,11.514486919951551,0.0,7.942555641947571,0.0
55.0,-0.0124999999999999,12,0.39,0.024375,4.441351811416062,0.9879639739513209,1.0,0.375,0,1,2,2,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.9031122343333936,0.0,4.69959284564264,0.0
60.0,-0.0125,10,0.47,0.029375,6.977301842939842,0.993261266438062,0.9659208081523384,0.3694444444444444,1,1,2,1,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0016653871604747,0.0,4.4629355686119725,5.480137959975775
65.0,-0.0325,8,0.55,0.034375,6.2397520293147615,0.9912876384515452,1.0,0.375,1,1,3,0,0.09,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233355371944639,10.745122998796456
70.0,-0.0374999999999999,7,0.5800000000000001,0.03625,7.345877134593075,0.9893788522571276,0.9993981464633468,0.4038461538461538,1,0,2,0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.120984065174987,12.630556148669736
75.0,0.0274999999999999,5,0.14,0.00875,6.802149236935156,0.9819483471903684,0.9351185789203692,0.625,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9184295332524925,7.986716447048819,5.7706758090244605,5.223110483273424
80.0,0.07,4,0.15,0.009375,9.557960047447608,0.9875711287282508,1.0,0.5178571428571429,0,0,2,1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,10.65116131631905,11.90792490800569,3.143337003664758,10.204444394892883
85.0,-0.0075,5,0.08,0.005,8.415232847939178,0.988639105536367,1.0,0.625,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822598165136442,6.531682541995891,4.031083005078156,9.629666575909464
