step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,gneJ0_stopped,gneJ0_accumulated_waiting_time,gneJ0_average_speed,gneJ6_stopped,gneJ6_accumulated_waiting_time,gneJ6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
230.0,-0.35,14,3.23,1.615,3.5817602623259046,8,173.0,0.19103053349729282,6,150.0,0.33943603579113124,14,323.0
235.0,-0.36,16,3.95,1.975,2.7731488662475674,8,213.0,0.0,8,182.0,0.23317854387456458,16,395.0
240.0,1.8599999999999999,1,0.23,0.115,6.929962475900237,0,17.0,0.36428429422377906,1,6.0,0.30132953864707773,1,23.0
245.0,0.04000000000000001,3,0.15,0.075,9.357729771599269,0,0.0,0.5296243310162774,3,15.0,0.2396076723365077,3,15.0
250.0,-0.06999999999999999,2,0.29,0.145,10.099737758157891,0,0.0,0.9009610083996752,2,29.0,0.5201302655583611,2,29.0
255.0,-0.04000000000000001,3,0.37,0.185,8.971513826206463,0,0.0,0.9448057683348695,3,37.0,0.33424945986188836,3,37.0
260.0,-0.07500000000000001,3,0.52,0.26,9.390719887208508,0,0.0,0.7465647431288388,3,52.0,0.24047839529486464,3,52.0
265.0,-0.09000000000000001,5,0.7000000000000001,0.35000000000000003,8.805897775613364,2,3.0,0.1584284622925302,3,67.0,0.2045122460309049,5,70.0
270.0,-0.14499999999999996,7,0.99,0.495,7.818618453507562,3,15.0,0.22580310577837662,4,84.0,0.28703502359576916,7,99.0
275.0,-0.18500000000000005,8,1.36,0.68,6.085599757995708,4,32.0,0.28937666424034403,4,104.0,0.18585227478789182,8,136.0
280.0,-0.22,9,1.8,0.9,5.829135634820216,5,56.0,0.2129112929661191,4,124.0,0.24831316844227014,9,180.0
285.0,0.7550000000000001,1,0.29,0.145,6.427338787350476,1,11.0,0.49332568088479206,0,18.0,0.20322827988853506,1,29.0
290.0,0.1,1,0.09,0.045,9.44191454111107,1,9.0,0.6010892941297881,0,0.0,0.5966878172188993,1,9.0
295.0,-0.010000000000000005,1,0.11000000000000001,0.05500000000000001,9.424712152307729,1,7.0,0.540737736483233,0,4.0,0.8048779355337379,1,11.0
300.0,-0.06999999999999999,3,0.25,0.125,8.937349072578227,3,21.0,0.09682422514657976,0,4.0,0.8566185409742062,3,25.0
305.0,-0.115,6,0.48,0.24,7.003015116770956,5,44.0,0.25837889964188904,1,4.0,0.3367048654579507,6,48.0
310.0,-0.22999999999999998,10,0.94,0.47,6.203902089126503,6,72.0,0.3399496318594734,4,22.0,0.3734364010134406,10,94.0
315.0,-0.28500000000000003,12,1.51,0.755,5.159035970158735,7,104.0,0.19618049226811235,5,47.0,0.30197014402176114,12,151.0
320.0,-0.41,18,2.33,1.165,4.70163364524238,9,147.0,0.11310155964074536,9,86.0,0.29558690745026456,18,233.0
325.0,-0.465,19,3.26,1.63,4.748412498116646,10,195.0,0.08322178591064648,9,131.0,0.25489005520708397,19,326.0
330.0,0.79,11,1.6800000000000002,0.8400000000000001,5.063851289808348,5,91.0,0.5228921744986748,6,77.0,0.08939678523121837,11,168.0
335.0,0.615,1,0.45,0.225,6.526213611993845,1,11.0,0.3476091528854255,0,34.0,0.4279263816770101,1,45.0
340.0,0.11000000000000001,5,0.23,0.115,7.39854898706275,5,19.0,0.16292298283016296,0,4.0,0.10514959684900273,5,23.0
345.0,-0.175,5,0.58,0.29,8.3967429575145,4,43.0,0.393454925274415,1,15.0,0.6281215009408828,5,58.0
350.0,-0.085,6,0.75,0.375,8.474347417896798,5,62.0,0.3920997327520675,1,13.0,0.6329540071844508,6,75.0
355.0,-0.15000000000000002,8,1.05,0.525,7.524602001676356,7,91.0,0.15004596006960516,1,14.0,0.31826905902377844,8,105.0
360.0,-0.245,11,1.54,0.77,6.695476020263453,9,131.0,0.18035759355177688,2,23.0,0.1420898025829496,11,154.0
365.0,-0.295,13,2.13,1.065,4.404046798066198,9,176.0,0.1098447898532385,4,37.0,0.47417606885875424,13,213.0
370.0,-0.325,14,2.7800000000000002,1.3900000000000001,3.7583601855024056,10,225.0,0.16143368318260853,4,53.0,0.280594450236473,14,278.0
375.0,-0.39,16,3.56,1.78,4.138951647086022,10,275.0,0.15881508252587415,6,81.0,0.0671497510091337,16,356.0
380.0,1.2,0,1.1600000000000001,0.5800000000000001,6.332962581550883,0,109.0,0.3217998860884789,0,7.0,0.42597900747815665,0,116.0
385.0,0.43500000000000005,4,0.29000000000000004,0.14500000000000002,9.20298486711752,3,27.0,0.38379705156885097,1,2.0,0.6275426784195468,4,29.0
390.0,-0.01999999999999999,5,0.33,0.165,8.622395149524348,3,22.0,0.27242199351711627,2,11.0,0.5347141037616472,5,33.0
395.0,-0.195,8,0.72,0.36,7.385533400070942,5,45.0,0.3278291987399316,3,27.0,0.46672034979440713,8,72.0
400.0,-0.22499999999999998,10,1.17,0.585,4.400909866306699,6,75.0,0.11832923429678771,4,42.0,0.2288309893068683,10,117.0
405.0,-0.36,17,1.89,0.945,3.430347426773348,9,116.0,5.912179518348529e-05,8,73.0,0.19388518236107824,17,189.0
410.0,-0.4800000000000001,20,2.85,1.425,2.6265945409907405,9,161.0,0.09587946709288879,11,124.0,0.07946993345128175,20,285.0
415.0,-0.5,20,3.85,1.925,3.2477223243998705,9,206.0,0.05195765354422159,11,179.0,0.14093079681884296,20,385.0
420.0,-0.5349999999999999,23,4.92,2.46,2.3811884410734323,10,254.0,0.14280738898376924,13,238.0,0.12802637472521802,23,492.0
425.0,1.1099999999999999,8,2.7,1.35,3.5303497403908404,3,121.0,0.11815283678934813,5,149.0,0.115127537965767,8,270.0
430.0,0.8049999999999999,3,1.09,0.545,6.889324498300991,2,56.0,0.10842122521144479,1,53.0,0.287166777028976,3,109.0
435.0,0.27,4,0.55,0.275,9.86646554717822,2,18.0,0.28428027823948426,2,37.0,0.47645683335032557,4,55.0
440.0,-0.04000000000000001,6,0.63,0.315,10.088482013222857,3,34.0,0.6059645215133147,3,29.0,0.5222264438134891,6,63.0
445.0,-0.125,8,0.88,0.44,7.484690238918945,4,49.0,0.26876205932268116,4,39.0,0.30458450723692654,8,88.0
450.0,-0.275,12,1.4300000000000002,0.7150000000000001,5.9261998045947095,6,77.0,0.12459534810568451,6,66.0,0.18819655665928678,12,143.0
455.0,-0.315,14,2.06,1.03,4.859406514058078,7,108.0,0.19983071770990968,7,98.0,0.14794600597681978,14,206.0
460.0,-0.3849999999999999,16,2.83,1.415,4.091096639246754,7,143.0,0.06938818799925267,9,140.0,0.17430845939604495,16,283.0
465.0,-0.4700000000000001,20,3.77,1.885,2.3594522231518855,9,185.0,0.0,11,192.0,0.06673080176532288,20,377.0
470.0,-0.5049999999999999,21,4.779999999999999,2.3899999999999997,2.4881460983573027,9,230.0,0.1,12,248.0,0.13043334988770533,21,478.0
475.0,1.2899999999999998,7,2.2,1.1,4.975220430722286,0,93.0,0.40654142818883426,7,127.0,0.07995090500691532,7,220.0
480.0,0.655,4,0.89,0.445,8.337583839536522,0,27.0,0.6743396683556723,4,62.0,0.22170654216717972,4,89.0
485.0,0.14,3,0.61,0.305,8.985840421780807,0,2.0,0.8720975427440879,3,59.0,0.42993262226375556,3,61.0
490.0,-0.07500000000000001,4,0.76,0.38,7.876500616121429,0,1.0,0.8200963204749934,4,75.0,0.4567632166005114,4,76.0
495.0,-0.12499999999999999,8,1.01,0.505,6.308085179539574,1,3.0,0.3214519360985244,7,98.0,0.35733309626608983,8,101.0
500.0,-0.20999999999999996,17,1.43,0.715,4.507426665359782,6,25.0,0.3162559133279565,11,118.0,0.11972888000932229,17,143.0
505.0,-0.47500000000000003,19,2.38,1.19,4.229437820630434,6,58.0,0.3219859880772252,13,180.0,0.1690192371318735,19,238.0
510.0,-0.51,22,3.4000000000000004,1.7000000000000002,3.798918799347451,9,95.0,0.31535873634251005,13,245.0,0.06568292483995233,22,340.0
515.0,-0.59,25,4.58,2.29,3.1265405809321227,11,144.0,0.17951392065377592,14,314.0,0.13817818946661908,25,458.0
520.0,1.0,6,2.58,1.29,4.828734815401539,4,100.0,0.29781385154566675,2,158.0,0.27243716117794375,6,258.0
525.0,0.775,4,1.03,0.515,7.613837064480116,3,56.0,0.2050881061390095,1,47.0,0.3028843050928635,4,103.0
530.0,0.26,5,0.51,0.255,9.776459032958812,4,42.0,0.4365569333219338,1,9.0,0.5383815498948091,5,51.0
535.0,-0.115,6,0.74,0.37,9.05531395804444,5,60.0,0.0241850427795974,1,14.0,0.5942612392343121,6,74.0
540.0,-0.18000000000000005,8,1.1,0.55,7.098781632381,7,93.0,0.12064544970905418,1,17.0,0.26322154128710396,8,110.0
545.0,-0.255,11,1.61,0.805,4.872411442255461,7,128.0,0.1210310240733732,4,33.0,0.0016926519739766722,11,161.0
550.0,-0.2749999999999999,11,2.16,1.08,5.016310382879577,7,163.0,0.2381612182510274,4,53.0,0.0,11,216.0
555.0,-0.29999999999999993,13,2.76,1.38,4.644857133671347,9,203.0,0.09063999107985478,4,73.0,0.052239703851889474,13,276.0
560.0,-0.3350000000000001,14,3.4299999999999997,1.7149999999999999,4.436378260293727,9,248.0,0.17691878984752238,5,95.0,0.34618404518499635,14,343.0
565.0,1.025,6,1.38,0.69,3.8338070171713543,5,113.0,0.2640698135012515,1,25.0,0.4960814599997689,6,138.0
570.0,0.5349999999999999,3,0.31,0.155,7.023712070789142,2,27.0,0.21103665878394326,1,4.0,0.013354541895945907,3,31.0
575.0,-0.07499999999999998,6,0.45999999999999996,0.22999999999999998,8.418013408156991,3,24.0,0.31696630228266937,3,22.0,0.22765681475491503,6,46.0
580.0,-0.21999999999999997,7,0.8999999999999999,0.44999999999999996,8.60667174269345,4,49.0,0.4790625381031998,3,41.0,0.5808729584670473,7,90.0
585.0,-0.165,8,1.23,0.615,5.451443869583141,4,65.0,0.23593379743511553,4,58.0,0.33166175016011856,8,123.0
590.0,-0.31,15,1.85,0.925,3.581174719645577,7,94.0,0.10576944785658189,8,91.0,0.2088078024120351,15,185.0
595.0,-0.48500000000000004,21,2.8200000000000003,1.4100000000000001,2.4822497897327063,8,134.0,0.0019739752514150964,13,148.0,0.0027613476514759547,21,282.0
600.0,-0.565,23,3.95,1.975,2.728889181401969,9,178.0,0.17112422046294978,14,217.0,0.06548001419669848,23,395.0
605.0,-0.525,23,5.0,2.5,2.00797841878289,9,223.0,0.19619454749379692,14,277.0,0.11716905371989857,23,500.0
610.0,-0.6000000000000001,25,6.2,3.1,2.2084522714000965,10,272.0,0.083379017776326,15,348.0,0.06252519216049333,25,620.0
615.0,1.9050000000000002,3,2.3899999999999997,1.1949999999999998,5.905792931078217,2,101.0,0.3538822505976835,1,138.0,0.11527440960577974,3,239.0
620.0,0.7999999999999999,1,0.79,0.395,9.43964321617769,1,12.0,0.4819150917669239,0,67.0,0.5513461801823375,1,79.0
625.0,0.315,1,0.16,0.08,11.242555670123739,1,14.0,0.7001178380906139,0,2.0,0.9121095014966135,1,16.0
630.0,-0.034999999999999996,3,0.23,0.115,11.281405144072549,1,17.0,0.7061433398751428,2,6.0,0.582640350674435,3,23.0
635.0,-0.065,3,0.36,0.18,8.640124861402304,1,22.0,0.3770462372015818,2,14.0,0.289180333126162,3,36.0
640.0,-0.135,7,0.63,0.315,7.2569402193812,3,33.0,0.3845814899427155,4,30.0,0.22440182648654386,7,63.0
645.0,-0.20500000000000002,9,1.04,0.52,7.646603621630571,4,51.0,0.387987151720402,5,53.0,0.23183387353289778,9,104.0
650.0,-0.24,10,1.52,0.76,6.094316314133667,4,71.0,0.17624203475366776,6,81.0,0.1428600896951879,10,152.0
655.0,-0.27,11,2.06,1.03,5.672672581059405,5,95.0,0.3850453984315026,6,111.0,0.2714699160420447,11,206.0
660.0,0.68,3,0.7,0.35,5.487581159098294,1,21.0,0.18389930277100341,2,49.0,0.19357571916347543,3,70.0
665.0,0.235,5,0.23,0.115,8.15150984763395,2,10.0,0.31147532207093415,3,13.0,0.246062632345231,5,23.0
670.0,-0.185,7,0.6,0.3,8.364869534310586,3,23.0,0.46581514612696084,4,37.0,0.27073166771644325,7,60.0
675.0,-0.175,7,0.95,0.475,7.913663982815275,2,33.0,0.511147804232617,5,62.0,0.35554896117720614,7,95.0
680.0,-0.20500000000000002,10,1.36,0.68,5.968149394607456,3,45.0,0.4552852865974402,7,91.0,0.17723257241542154,10,136.0
685.0,-0.29500000000000004,13,1.9500000000000002,0.9750000000000001,4.833665531132389,4,61.0,0.1603092268602853,9,134.0,0.29175963454845044,13,195.0
690.0,-0.3899999999999999,18,2.73,1.365,2.9539087309622243,5,85.0,0.15982744339030677,13,188.0,0.0862115104963518,18,273.0
695.0,-0.46,19,3.65,1.825,2.874713376482671,5,110.0,0.17699216576887133,14,255.0,0.15318667714532655,19,365.0
700.0,-0.4950000000000001,21,4.640000000000001,2.3200000000000003,3.0958719710858085,5,135.0,0.26703396097679516,16,329.0,0.057730717138600715,21,464.0
705.0,-0.5699999999999998,23,5.779999999999999,2.8899999999999997,2.951600808533434,5,160.0,0.14066979866512158,18,418.0,0.14475332587000755,23,578.0
710.0,2.255,3,1.27,0.635,5.726511208537316,0,2.0,0.667133179794788,3,125.0,0.18794421047615298,3,127.0
715.0,0.42,4,0.43000000000000005,0.21500000000000002,9.319515414106135,2,3.0,0.5043120192986786,2,40.0,0.25216776548301106,4,43.0
720.0,0.010000000000000009,6,0.41000000000000003,0.20500000000000002,9.831952225496963,3,15.0,0.4776923378343154,3,26.0,0.37326613613763504,6,41.0
725.0,-0.13,6,0.6699999999999999,0.33499999999999996,9.960302325661196,3,30.0,0.629806074841623,3,37.0,0.36163089541502225,6,67.0
730.0,-0.14500000000000002,6,0.96,0.48,7.4475490897298195,3,44.0,0.1665207656336747,3,52.0,0.16805056997864276,6,96.0
735.0,-0.24000000000000002,10,1.44,0.72,6.180696172918474,5,68.0,0.02888746643540023,5,76.0,0.35062383089975274,10,144.0
740.0,-0.27499999999999997,12,1.99,0.995,2.180543102156858,6,96.0,4.282373488243904e-05,6,103.0,9.917702927531904e-05,12,199.0
745.0,-0.30000000000000004,12,2.59,1.295,4.056483213622181,6,126.0,0.2437596315592513,6,133.0,1.1929727797788513e-06,12,259.0
750.0,-0.29999999999999993,12,3.19,1.595,4.884241825962531,6,156.0,0.2730000119855993,6,163.0,0.24525051637849724,12,319.0
755.0,0.86,4,1.47,0.735,5.7997188057322,3,46.0,0.28975403606856365,1,101.0,0.3299605194757773,4,147.0
760.0,0.515,5,0.44,0.22,8.094349299969757,3,23.0,0.0,2,21.0,0.5359255612584586,5,44.0
765.0,-0.07999999999999999,5,0.6,0.3,9.404268925687138,3,42.0,0.4745875413611712,2,18.0,0.5019506020252449,5,60.0
770.0,-0.155,7,0.9099999999999999,0.45499999999999996,8.01782440363918,4,62.0,0.4253671589870055,3,29.0,0.38532306786448156,7,91.0
775.0,-0.225,11,1.3599999999999999,0.6799999999999999,6.308053682894073,7,88.0,0.2768003409608299,4,48.0,0.2286571956656626,11,136.0
780.0,-0.34500000000000003,16,2.05,1.025,4.141704426899844,10,132.0,0.12890019434228672,6,73.0,0.2549404498841581,16,205.0
785.0,-0.44999999999999996,20,2.95,1.475,4.077339349256633,12,188.0,0.07072023339177608,8,107.0,0.3059757219784033,20,295.0
790.0,-0.51,21,3.9699999999999998,1.9849999999999999,3.8188984990465733,12,248.0,0.24249007555833724,9,149.0,0.040294410578636,21,397.0
795.0,-0.5499999999999999,23,5.07,2.535,3.78783553096407,13,309.0,0.14803847175684204,10,198.0,8.823360048378551e-06,23,507.0
800.0,1.025,18,3.0199999999999996,1.5099999999999998,2.527490796287415,12,188.0,0.13438262840117107,6,114.0,0.203984730340074,18,302.0
805.0,0.49999999999999983,5,2.02,1.01,5.981287944510237,4,111.0,0.22109040648609365,1,91.0,0.4074936491118761,5,202.0
810.0,0.15500000000000005,3,1.71,0.855,8.343163947874391,3,128.0,0.309280877027521,0,43.0,0.3193750326708099,3,171.0
815.0,0.15000000000000002,6,1.41,0.705,7.87076074741719,4,125.0,0.29232164565871394,2,16.0,0.5164578406732003,6,141.0
820.0,-0.0050000000000000044,9,1.42,0.71,6.291687366151145,7,126.0,0.11922141904028338,2,16.0,0.30331673066628373,9,142.0
825.0,-0.23999999999999994,9,1.9,0.95,5.3624760708899695,7,164.0,0.15476451654981616,2,26.0,0.2977544863260984,9,190.0
830.0,-0.065,10,2.03,1.015,5.297167587580141,8,167.0,0.1622887707080395,2,36.0,0.47683318401417607,10,203.0
835.0,-0.07,10,2.17,1.085,6.231017826378807,7,169.0,0.21546052498478568,3,48.0,0.43157073314890004,10,217.0
840.0,-0.24499999999999994,11,2.6599999999999997,1.3299999999999998,6.242340226272523,8,203.0,0.11113863238268519,3,63.0,0.5697533548036997,11,266.0
845.0,-0.2900000000000002,12,3.24,1.62,6.163031083204858,8,243.0,0.11827997579057277,4,81.0,0.2521994113151103,12,324.0
850.0,1.475,1,0.29,0.145,7.5737801119481025,0,25.0,0.29124094887250235,1,4.0,0.531237408460866,1,29.0
855.0,0.065,3,0.16,0.08,9.45740859739842,2,10.0,0.6050746188166116,1,6.0,0.47612049775352344,3,16.0
860.0,-0.15,7,0.45999999999999996,0.22999999999999998,8.705167927212251,4,22.0,0.3342772862486232,3,24.0,0.4738240635984511,7,46.0
865.0,-0.195,9,0.85,0.425,6.752291701952526,4,41.0,0.40921584207323036,5,44.0,0.3153143958279597,9,85.0
870.0,-0.28500000000000003,14,1.42,0.71,5.024033733883469,6,66.0,0.3325940743469033,8,76.0,0.2315342385843929,14,142.0
875.0,-0.36999999999999994,17,2.16,1.08,3.619600187577292,8,101.0,0.185977931558111,9,115.0,0.12228100231973643,17,216.0
880.0,-0.45999999999999996,21,3.08,1.54,3.6632878743897272,9,143.0,0.28937435376073717,12,165.0,0.1393496911612426,21,308.0
885.0,-0.5599999999999999,23,4.199999999999999,2.0999999999999996,2.965039730314962,9,188.0,0.1433569094250909,14,232.0,0.16175773890008904,23,420.0
890.0,-0.6050000000000002,26,5.41,2.705,2.2067816021276996,11,239.0,0.002340069610024743,15,302.0,0.07559041790375416,26,541.0
895.0,0.9250000000000002,9,3.5599999999999996,1.7799999999999998,3.86739265324204,3,116.0,0.052447864468403306,6,240.0,0.27561510091491537,9,356.0
900.0,1.355,0,0.8500000000000001,0.42500000000000004,8.63249439760219,0,6.0,0.6993796730944122,0,79.0,0.35745606503842153,0,85.0
905.0,0.3350000000000001,0,0.18,0.09,10.542897543064115,0,0.0,0.9174216748499672,0,18.0,0.5530041797753379,0,18.0
910.0,0.039999999999999994,1,0.1,0.05,10.794249380851324,0,0.0,0.949763446018622,1,10.0,0.6091497393097978,1,10.0
915.0,-0.020000000000000004,3,0.14,0.07,9.415538297243232,0,0.0,0.049059597057030946,3,14.0,0.40368962461398694,3,14.0
920.0,-0.09499999999999999,4,0.32999999999999996,0.16499999999999998,9.80103951592603,1,4.0,0.6539438277017193,3,29.0,0.14358454844257085,4,33.0
925.0,-0.11499999999999999,5,0.5599999999999999,0.27999999999999997,7.557686150025905,1,9.0,0.37283725391419287,4,47.0,0.19946166081697358,5,56.0
930.0,-0.16000000000000003,8,0.88,0.44,7.7732516118093455,4,21.0,0.3792160518716012,4,67.0,0.1998614313714728,8,88.0
935.0,-0.19999999999999996,8,1.28,0.64,7.047648532668385,4,41.0,0.47301892941839385,4,87.0,0.19725665286308158,8,128.0
940.0,-0.21500000000000005,10,1.71,0.855,5.592235568354044,6,64.0,0.126632746010516,4,107.0,0.17410376851332532,10,171.0
945.0,0.615,3,0.48,0.24,7.216557997552188,2,24.0,0.2674826186226078,1,24.0,0.5880745147893023,3,48.0
950.0,0.11499999999999999,3,0.25,0.125,9.751081399990943,2,16.0,0.4245645105340275,1,9.0,0.5741414025048208,3,25.0
955.0,-0.10500000000000001,4,0.46,0.23,9.47091487727471,2,26.0,0.5243622653048264,2,20.0,0.5936720204447758,4,46.0
960.0,-0.145,8,0.75,0.375,6.840527472209126,3,39.0,0.38631572363107763,5,36.0,0.3848704768348389,8,75.0
965.0,-0.24,12,1.23,0.615,5.412972416758361,5,58.0,0.1902159017680536,7,65.0,0.21794343644581432,12,123.0
970.0,-0.325,15,1.88,0.94,4.328606666550648,5,83.0,0.37217489556275274,10,105.0,0.20378392281440247,15,188.0
975.0,-0.43,18,2.74,1.37,2.7459790801146404,7,114.0,0.16462222400971824,11,160.0,0.052730263713997846,18,274.0
980.0,-0.5400000000000001,23,3.8200000000000003,1.9100000000000001,3.0619934191820075,10,160.0,0.1460977156090068,13,222.0,8.195428728034094e-06,23,382.0
985.0,-0.5599999999999998,23,4.9399999999999995,2.4699999999999998,3.519421620764552,10,211.0,0.14947930619942243,13,283.0,0.12495785030680055,23,494.0
990.0,0.955,5,3.0300000000000002,1.5150000000000001,4.881769786372018,2,101.0,0.2993455229661224,3,202.0,0.3217781785971654,5,303.0
995.0,0.9800000000000001,4,1.0699999999999998,0.5349999999999999,7.344250394113629,3,48.0,0.21889088619517955,1,59.0,0.3184978630435013,4,107.0
1000.0,0.27999999999999997,6,0.51,0.255,9.448359042735817,4,35.0,0.30697857141072743,2,16.0,0.48672395750049147,6,51.0
1005.0,-0.15000000000000002,6,0.81,0.405,9.439532558710626,4,55.0,0.4988451579963243,2,26.0,0.38076300635635674,6,81.0
