step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,B5_stopped,B5_accumulated_waiting_time,B5_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,C5_stopped,C5_accumulated_waiting_time,C5_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,D5_stopped,D5_accumulated_waiting_time,D5_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,E5_stopped,E5_accumulated_waiting_time,E5_average_speed,F1_stopped,F1_accumulated_waiting_time,F1_average_speed,F2_stopped,F2_accumulated_waiting_time,F2_average_speed,F3_stopped,F3_accumulated_waiting_time,F3_average_speed,F4_stopped,F4_accumulated_waiting_time,F4_average_speed,F5_stopped,F5_accumulated_waiting_time,F5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,-0.0064,19,2.86,0.1144,3.58786642004325,0,0.0,0.8764203661730017,0,0.0,0.8761941088728975,0,0.0,1.0,1,4.0,0.4110297021686387,4,67.0,0.0,0,0.0,1.0,0,0.0,0.0267613459870251,0,0.0,0.9708052264682556,0,0.0,0.8233673320427596,4,61.0,0.1688852759652461,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,76.0,0.0021454718184717,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,3,35.0,0.0011200730371493,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,30.0,0.3059913588593673,19,286.0
60.0,0.0492,6,1.63,0.0652,5.928241346441843,0,0.0,0.009633914632795,0,0.0,0.4977001452737393,0,0.0,1.0,1,11.0,0.5879396689807952,0,42.0,0.4739267147269154,0,0.0,1.0,1,4.0,0.0,1,2.0,0.471060595343139,1,4.0,0.4537472568619609,1,36.0,0.2306127697892312,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8357527911882408,1,53.0,0.3281476282913457,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8509868873998704,0,0.0,1.0,0,6.0,0.5401122661028472,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.6577479485498279,6,163.0
65.0,0.0336,8,0.79,0.0316,8.52406896507079,1,5.0,3.93621735732632e-05,1,4.0,0.4377520983132914,0,0.0,1.0,1,16.0,0.7133477266042746,0,0.0,0.9987249223548956,0,0.0,1.0,1,9.0,0.0,1,7.0,0.3993755956161803,1,9.0,0.5754604945867936,1,11.0,0.0952901688965805,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9463902927206718,1,12.0,0.7136378145096615,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9144978960881824,0,0.0,1.0,0,2.0,0.8726279676814817,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9051333088618216,8,79.0
70.0,-0.0172,9,1.22,0.0488,7.778472951491012,1,10.0,0.0,1,9.0,0.4965454236566596,0,0.0,0.9234978585510416,1,21.0,0.5631180213443379,0,0.0,0.0181061960832626,0,0.0,1.0,1,14.0,0.0,1,12.0,0.4889359209215644,1,14.0,0.5075304472376228,2,19.0,2.572550961885776e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9030467584431447,1,17.0,0.7027767901953388,0,0.0,1.0,0,0.0,1.0,0,2.0,0.875187507526641,0,0.0,1.0,0,2.0,0.95612634325334,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8968833245993024,9,122.0
75.0,-0.02,10,1.7200000000000002,0.0688,7.232422034812719,1,15.0,0.3170252363220472,1,14.0,0.4058728272920993,0,0.0,0.7546125266413642,1,26.0,0.5909433260892598,1,5.0,0.3946078125798428,0,0.0,1.0,1,19.0,0.0,1,17.0,0.4068345230912319,1,19.0,0.6062749839268973,2,29.0,0.171626342201269,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9420184877318696,1,22.0,0.6064939382738613,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8503839205903958,0,0.0,1.0,0,2.0,0.7349137563707266,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5370078792696842,10,172.0
80.0,-0.0224,13,2.28,0.0912,7.473163216565245,1,20.0,0.0818906487388912,1,19.0,0.4305897359276816,0,0.0,0.8710880739605485,2,34.0,0.4390336305035465,1,10.0,0.5578310163697356,0,0.0,1.0,1,24.0,0.0,2,23.0,0.0006609788213438,1,24.0,0.5451622980018478,3,41.0,0.0003713192952881,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8093134258380837,1,27.0,0.7496321541437778,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8709331443556984,0,0.0,1.0,0,2.0,0.9279902339241852,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8508809805833458,13,228.0
85.0,-0.0136,14,2.62,0.1048,6.074480571091405,2,27.0,1.022634425343137e-05,1,24.0,0.4596364004159547,0,0.0,0.8908483747145098,2,44.0,0.4578696652336947,0,0.0,0.92016493126652,0,0.0,1.0,1,29.0,0.0,2,33.0,0.0,1,29.0,0.5180861151396304,2,35.0,0.2946261796003616,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3395481671760391,2,33.0,0.4154489477619631,0,0.0,1.0,0,0.0,1.0,0,2.0,0.0111184826661182,0,0.0,1.0,0,2.0,0.6419627931899485,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9173392638093548,14,262.0
90.0,-0.0388,21,3.5900000000000003,0.1436,3.982858720783237,2,37.0,0.0,1,29.0,0.4671329979424822,0,0.0,0.6503968792741593,2,54.0,0.2464529670385812,0,0.0,0.8118209087964622,0,0.0,1.0,1,34.0,0.0,2,43.0,0.0,1,34.0,0.2406967611666422,2,45.0,0.3228272730135665,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,16.0,9.716666904798692e-05,4,52.0,0.2653784363837118,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,2,8.0,0.2439882104758109,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9826404862865212,21,359.0
95.0,0.0984,15,1.13,0.0452,7.774705261229807,0,0.0,1.0,1,1.0,0.0042513503816887,1,4.0,0.6513508457592471,3,12.0,0.0004589244724804,0,0.0,0.7729791668925178,0,1.0,0.9232710663797606,0,0.0,0.9771168286329412,0,0.0,0.9103592329556872,2,9.0,0.2430166342297837,1,15.0,0.7367415246265221,0,0.0,1.0,0,0.0,0.929396997346106,0,1.0,0.8785873934258478,3,31.0,0.0,2,20.0,0.6570778553477543,0,0.0,1.0,0,0.0,1.0,1,12.0,0.0,0,0.0,1.0,1,7.0,0.6160170366958572,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5912469004323355,15,113.0
100.0,-0.0348,18,2.0,0.08,6.715642723903033,0,0.0,1.0,1,6.0,0.0,1,9.0,0.5931011094251925,3,27.0,0.2324795393995384,0,0.0,0.9348163957471792,0,1.0,0.8442106633871869,0,0.0,0.9556117320475674,0,0.0,0.9825627089328018,3,24.0,0.2069732513920911,2,22.0,0.6182060413631122,0,0.0,1.0,0,0.0,0.9750872851765224,0,1.0,0.8597970448285106,3,46.0,0.0,2,30.0,0.5793103171943057,0,0.0,1.0,0,0.0,1.0,1,17.0,0.0,0,0.0,1.0,1,12.0,0.0271414444230086,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0130716165047152,18,200.0
